race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time
Saudi Arabian,Start,VER,821,Red Bull,Red Bull RBPTH001,4,1:28.461,4,,0,1,25,33.738,29.113,28.395,1:31.246,290.0,328.4,308.5,334.1,Mediumnew,
Saudi Arabian,1,VER,821,Red Bull,Red Bull RBPTH001,4,1:28.461,3,1:38.082,2.091,1,25,33.738,29.113,28.395,1:31.246,290.0,328.4,308.5,334.1,Mediumnew,
Saudi Arabian,2,VER,821,Red Bull,Red Bull RBPTH001,4,1:28.461,3,1:35.275,2.644,1,25,33.738,29.113,28.395,1:31.246,290.0,328.4,308.5,334.1,Mediumnew,
Saudi Arabian,3,VER,821,Red Bull,Red Bull RBPTH001,4,1:28.461,3,1:34.890,2.938,1,25,33.738,29.113,28.395,1:31.246,290.0,328.4,308.5,334.1,Mediumnew,
Saudi Arabian,4,VER,821,Red Bull,Red Bull RBPTH001,4,1:28.461,3,1:34.700,3.198,1,25,33.738,29.113,28.395,1:31.246,290.0,328.4,308.5,334.1,Mediumnew,
Saudi Arabian,5,VER,821,Red Bull,Red Bull RBPTH001,4,1:28.461,3,1:34.809,3.511,1,25,33.738,29.113,28.395,1:31.246,290.0,328.4,308.5,334.1,Mediumnew,
Saudi Arabian,6,VER,821,Red Bull,Red Bull RBPTH001,4,1:28.461,3,1:34.840,3.870,1,25,33.738,29.113,28.395,1:31.246,290.0,328.4,308.5,334.1,Mediumnew,
Saudi Arabian,7,VER,821,Red Bull,Red Bull RBPTH001,4,1:28.461,3,1:34.634,3.683,1,25,33.738,29.113,28.395,1:31.246,290.0,328.4,308.5,334.1,Mediumnew,
Saudi Arabian,8,VER,821,Red Bull,Red Bull RBPTH001,4,1:28.461,3,1:34.821,3.885,1,25,33.738,29.113,28.395,1:31.246,290.0,328.4,308.5,334.1,Mediumnew,
Saudi Arabian,9,VER,821,Red Bull,Red Bull RBPTH001,4,1:28.461,3,1:34.832,3.892,1,25,33.738,29.113,28.395,1:31.246,290.0,328.4,308.5,334.1,Mediumnew,
Saudi Arabian,10,VER,821,Red Bull,Red Bull RBPTH001,4,1:28.461,3,1:35.252,4.308,1,25,33.738,29.113,28.395,1:31.246,290.0,328.4,308.5,334.1,Mediumnew,
Saudi Arabian,11,VER,821,Red Bull,Red Bull RBPTH001,4,1:28.461,3,1:34.959,4.722,1,25,33.738,29.113,28.395,1:31.246,290.0,328.4,308.5,334.1,Mediumnew,
Saudi Arabian,12,VER,821,Red Bull,Red Bull RBPTH001,4,1:28.461,3,1:35.191,5.242,1,25,33.738,29.113,28.395,1:31.246,290.0,328.4,308.5,334.1,Mediumnew,
Saudi Arabian,13,VER,821,Red Bull,Red Bull RBPTH001,4,1:28.461,3,1:34.982,5.010,1,25,33.738,29.113,28.395,1:31.246,290.0,328.4,308.5,334.1,Mediumnew,
Saudi Arabian,14,VER,821,Red Bull,Red Bull RBPTH001,4,1:28.461,3,1:35.093,4.787,1,25,33.738,29.113,28.395,1:31.246,290.0,328.4,308.5,334.1,Mediumnew,
