,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,12.661,20.0,36.0,939.5,False,30.2,267,1.5
1,72.665,19.9,37.0,939.5,False,30.1,258,2.0
2,132.681,19.8,37.0,939.5,False,29.8,290,1.5
3,192.697,19.8,37.0,939.5,False,29.7,0,1.0
4,252.688,19.8,37.0,939.5,False,29.5,244,0.0
5,312.696,19.7,38.0,939.4,False,29.3,269,0.0
6,372.695,19.8,38.0,939.5,False,29.4,0,0.6
7,432.694,19.9,37.0,939.5,False,29.4,307,0.8
8,492.695,19.8,37.0,939.5,False,29.3,247,1.2
9,552.695,19.8,38.0,939.5,False,29.3,92,1.6
10,612.71,19.8,37.0,939.5,False,29.3,203,0.6
11,672.726,19.8,38.0,939.5,False,29.0,0,0.5
12,732.741,19.8,37.0,939.5,False,29.0,253,0.6
13,792.745,19.7,37.0,939.5,False,28.8,0,0.0
14,852.744,19.7,38.0,939.5,False,28.9,51,0.0
15,912.746,19.7,38.0,939.5,False,29.0,285,0.4
16,972.76,19.8,38.0,939.5,False,29.0,260,0.5
17,1032.777,19.8,38.0,939.5,False,28.9,293,1.2
18,1092.792,19.7,38.0,939.5,False,28.9,0,0.5
19,1152.791,19.7,38.0,939.5,False,29.2,27,0.5
20,1212.789,19.7,38.0,939.5,False,29.7,0,0.3
21,1272.792,19.9,38.0,939.5,False,30.5,257,0.6
22,1332.802,19.9,37.0,939.5,False,30.7,98,0.6
23,1392.794,20.0,38.0,939.5,False,30.5,235,0.6
24,1452.796,20.2,39.0,939.5,False,30.4,258,1.7
25,1512.793,20.3,39.0,939.5,False,30.1,0,1.7
26,1572.792,20.1,40.0,939.5,False,30.1,239,0.8
27,1632.807,20.1,39.0,939.4,False,29.7,306,1.2
28,1692.822,20.2,38.0,939.5,False,29.9,266,1.5
29,1752.827,20.2,37.0,939.5,False,29.7,270,1.5
30,1812.823,20.1,37.0,939.5,False,29.5,264,0.8
31,1872.844,20.1,37.0,939.5,False,29.5,266,1.3
32,1932.82,20.1,37.0,939.5,False,29.6,228,2.0
33,1992.825,20.0,36.0,939.5,False,29.6,0,1.2
34,2052.821,20.0,36.0,939.4,False,29.6,234,0.4
35,2112.821,19.9,37.0,939.5,False,29.6,0,0.6
36,2172.829,20.0,35.0,939.5,False,29.7,183,0.8
37,2232.819,19.9,34.0,939.5,False,29.7,0,0.0
38,2292.819,20.0,35.0,939.5,False,29.7,254,0.0
39,2352.823,20.0,35.0,939.5,False,29.7,255,0.6
40,2412.822,20.0,36.0,939.4,False,29.7,293,0.6
41,2472.821,20.0,36.0,939.5,False,29.9,229,0.8
42,2532.819,20.0,36.0,939.5,False,29.8,290,0.6
43,2592.822,20.0,35.0,939.5,False,30.1,216,1.1
44,2652.821,20.1,35.0,939.4,False,30.2,0,0.4
