,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,34.268,11.1,91.0,1001.7,False,17.6,65,1.7
1,94.268,11.1,91.0,1001.7,False,17.6,88,1.3
2,154.269,11.1,91.0,1001.5,False,17.6,46,0.8
3,214.293,11.2,91.0,1001.7,False,17.6,95,1.5
4,274.315,11.2,91.0,1001.7,False,17.7,127,1.2
5,334.315,11.1,91.0,1001.7,False,17.8,99,1.0
6,394.335,11.4,92.0,1001.7,False,17.9,56,1.0
7,454.348,11.4,90.0,1001.5,False,18.1,106,1.0
8,514.347,11.5,91.0,1001.5,False,18.2,67,1.0
9,574.346,11.6,91.0,1001.5,False,18.4,75,1.5
10,634.348,11.5,91.0,1001.5,False,18.7,88,1.5
11,694.347,11.6,92.0,1001.5,False,18.8,71,0.8
12,754.347,11.7,91.0,1001.5,False,19.0,94,1.6
13,814.346,11.7,91.0,1001.5,False,19.0,93,2.4
14,874.364,11.6,90.0,1001.5,False,19.0,79,2.4
15,934.378,11.6,90.0,1001.5,False,18.7,94,2.4
16,994.378,11.5,91.0,1001.5,False,18.6,101,2.2
17,1054.378,11.6,91.0,1001.5,False,18.5,80,2.2
18,1114.38,11.7,91.0,1001.5,False,18.5,99,1.7
19,1174.378,11.7,91.0,1001.5,False,18.5,96,2.2
20,1234.376,11.7,91.0,1001.5,False,18.4,99,2.2
21,1294.378,11.7,90.0,1001.5,False,18.3,66,2.2
22,1354.379,11.8,90.0,1001.4,False,18.3,108,2.0
23,1414.381,11.8,90.0,1001.5,False,18.4,99,2.2
24,1474.378,11.8,90.0,1001.5,False,18.4,90,2.2
25,1534.378,11.9,91.0,1001.5,False,18.5,97,2.0
26,1594.37,11.9,90.0,1001.5,False,18.5,79,1.7
27,1654.379,11.9,90.0,1001.5,False,18.6,70,1.7
28,1714.38,12.0,90.0,1001.5,False,18.6,79,2.0
29,1774.385,12.2,89.0,1001.5,False,18.6,81,1.8
30,1834.408,12.3,90.0,1001.5,False,18.7,78,2.0
31,1894.427,12.3,89.0,1001.5,False,19.0,85,2.0
32,1954.427,12.3,89.0,1001.5,False,18.8,114,2.2
33,2014.437,12.2,89.0,1001.4,False,18.5,82,2.0
34,2074.442,12.2,89.0,1001.5,False,18.6,62,1.6
