,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,5.534,19.0,68.0,985.2,False,27.8,280,3.4
1,65.528,19.0,68.0,985.2,False,27.9,281,2.7
2,125.553,19.1,68.0,985.2,False,27.9,292,3.7
3,185.553,19.1,68.0,985.2,False,28.1,296,4.5
4,245.566,19.1,68.0,985.2,False,28.3,283,4.0
5,305.558,19.2,67.0,985.2,False,28.5,293,4.0
6,365.604,19.2,68.0,985.2,False,28.0,279,3.0
7,425.568,19.2,68.0,985.2,False,27.3,284,3.5
8,485.568,19.3,67.0,985.4,False,26.7,284,3.5
9,545.568,19.3,67.0,985.4,False,26.2,295,4.1
10,605.585,19.3,67.0,985.2,False,26.2,292,4.3
11,665.586,19.3,67.0,985.4,False,25.8,282,3.5
12,725.584,19.2,67.0,985.4,False,25.6,288,3.9
13,785.601,19.2,67.0,985.2,False,25.6,287,4.3
14,845.615,19.2,67.0,985.4,False,25.6,276,3.7
15,905.618,19.3,68.0,985.4,False,26.3,287,4.0
16,965.626,19.3,68.0,985.5,False,26.8,288,3.7
17,1025.637,19.2,67.0,985.4,False,27.2,282,3.0
18,1085.651,19.3,67.0,985.4,False,27.7,283,4.4
19,1145.652,19.2,68.0,985.5,False,26.9,284,4.9
20,1205.649,19.1,67.0,985.5,False,26.9,295,4.0
21,1265.649,19.1,68.0,985.5,False,27.2,289,3.4
22,1325.647,19.1,67.0,985.4,False,28.4,298,4.3
23,1385.658,19.2,67.0,985.5,False,28.4,274,4.0
24,1445.659,19.2,67.0,985.4,False,27.6,281,3.9
25,1505.657,19.2,67.0,985.4,False,27.5,293,3.0
26,1565.647,19.2,67.0,985.5,False,27.1,304,4.0
27,1625.661,19.2,67.0,985.4,False,26.7,290,4.0
28,1685.655,19.3,68.0,985.5,False,27.4,279,4.5
29,1745.648,19.3,67.0,985.4,False,27.9,291,3.7
30,1805.648,19.2,67.0,985.5,False,28.7,277,3.9
31,1865.65,19.3,67.0,985.5,False,29.1,294,4.0
32,1925.659,19.3,66.0,985.4,False,29.2,282,4.4
33,1985.675,19.3,67.0,985.4,False,29.3,283,4.0
34,2045.656,19.2,67.0,985.5,False,29.3,263,4.0
35,2105.649,19.2,66.0,985.4,False,29.3,274,3.0
36,2165.647,19.3,66.0,985.5,False,28.5,285,3.5
37,2225.647,19.3,66.0,985.4,False,28.5,286,3.9
38,2285.645,19.4,66.0,985.2,False,28.1,294,3.7
39,2345.668,19.3,66.0,985.5,False,28.5,279,3.5
40,2405.651,19.3,66.0,985.4,False,28.5,287,4.0
41,2465.646,19.2,67.0,985.4,False,28.4,286,3.5
42,2525.65,19.2,67.0,985.2,False,27.8,277,3.5
43,2585.648,19.1,67.0,985.2,False,27.8,297,2.5
44,2645.649,19.0,67.0,985.4,False,27.8,293,3.7
45,2705.649,19.0,68.0,985.4,False,28.5,273,3.2
46,2765.646,18.9,68.0,985.4,False,27.6,297,3.0
47,2825.652,19.0,68.0,985.5,False,27.4,274,3.4
48,2885.643,18.9,68.0,985.5,False,27.0,286,3.4
49,2945.647,18.9,68.0,985.5,True,27.6,286,3.7
50,3005.647,18.9,68.0,985.5,True,27.6,291,3.2
51,3065.647,18.9,68.0,985.5,False,27.4,290,3.7
52,3125.646,18.8,69.0,985.5,True,26.3,291,3.5
53,3185.647,18.7,68.0,985.5,True,26.3,276,3.9
54,3245.655,18.7,68.0,985.5,True,26.5,289,4.0
55,3305.648,18.6,68.0,985.5,True,26.5,291,4.6
56,3365.646,18.6,68.0,985.5,True,27.1,289,3.7
57,3425.648,18.6,68.0,985.5,True,26.7,287,3.5
58,3485.654,18.6,69.0,985.5,True,26.5,280,4.4
59,3545.666,18.7,69.0,985.5,True,26.5,279,4.0
60,3605.659,18.6,70.0,985.5,True,26.5,281,4.0
61,3665.646,18.6,70.0,985.7,True,26.5,293,4.9
62,3725.655,18.6,69.0,985.5,True,26.5,284,3.7
63,3785.645,18.4,70.0,985.7,True,26.4,289,5.0
64,3845.648,18.4,70.0,985.7,True,26.5,286,4.5
65,3905.65,18.4,70.0,985.5,True,26.5,281,4.1
66,3965.658,18.4,70.0,985.5,False,26.7,277,3.9
67,4025.65,18.4,70.0,985.5,False,26.7,299,3.2
68,4085.648,18.4,70.0,985.5,True,26.5,284,4.0
69,4145.646,18.6,71.0,985.5,True,26.5,290,3.5
70,4205.652,18.6,70.0,985.5,False,26.7,297,3.5
71,4265.647,18.6,71.0,985.5,False,26.5,291,4.4
72,4325.657,18.6,71.0,985.5,False,26.5,281,3.2
73,4385.648,18.5,71.0,985.5,False,26.6,284,3.9
74,4445.676,18.5,71.0,985.5,False,26.6,312,4.4
75,4505.656,18.5,71.0,985.5,False,26.5,296,3.2
76,4565.648,18.5,71.0,985.5,False,26.7,280,3.5
77,4625.656,18.5,71.0,985.5,False,26.8,288,3.7
78,4685.648,18.5,71.0,985.5,False,26.8,285,4.1
79,4745.65,18.5,71.0,985.5,False,26.9,289,3.9
80,4805.655,18.5,71.0,985.5,False,26.9,282,4.5
81,4865.648,18.5,71.0,985.5,False,26.9,282,4.4
82,4925.648,18.4,72.0,985.5,False,26.9,277,3.9
83,4985.649,18.4,71.0,985.5,False,26.9,267,2.5
84,5045.655,18.4,71.0,985.5,False,27.2,282,3.5
85,5105.698,18.4,70.0,985.5,False,27.2,291,3.2
86,5165.646,18.4,70.0,985.5,False,27.2,285,4.5
87,5225.675,18.4,70.0,985.7,False,27.6,292,4.8
88,5285.66,18.4,71.0,985.5,False,27.6,287,4.5
89,5345.658,18.4,70.0,985.7,False,27.6,281,4.4
90,5405.648,18.5,70.0,985.7,False,27.3,280,5.3
91,5465.655,18.5,70.0,985.5,False,27.5,283,4.3
92,5525.647,18.5,70.0,985.5,False,27.5,279,4.0
93,5585.668,18.5,70.0,985.5,False,27.6,290,5.0
94,5645.674,18.5,70.0,985.5,False,27.7,293,4.4
95,5705.682,18.5,70.0,985.5,False,27.8,291,3.5
96,5765.696,18.4,70.0,985.5,False,27.8,277,3.2
97,5825.699,18.5,70.0,985.5,False,28.0,271,4.6
98,5885.73,18.5,70.0,985.5,False,28.1,285,4.1
99,5945.725,18.5,70.0,985.5,False,28.2,282,3.5
100,6005.738,18.5,70.0,985.5,False,28.3,277,3.4
101,6065.742,18.5,70.0,985.5,False,28.5,294,3.5
102,6125.741,18.6,70.0,985.5,False,28.5,285,3.7
103,6185.744,18.6,70.0,985.5,False,28.5,291,4.0
104,6245.743,18.6,69.0,985.4,False,28.5,274,4.8
105,6305.762,18.4,70.0,985.5,False,28.5,290,3.9
106,6365.771,18.3,70.0,985.5,False,28.0,293,5.3
107,6425.775,18.4,70.0,985.5,False,28.0,277,5.0
108,6485.774,18.4,71.0,985.5,False,27.7,266,5.8
109,6545.773,18.4,71.0,985.7,False,27.6,294,4.0
110,6605.773,18.3,71.0,985.5,False,27.6,285,3.9
111,6665.774,18.3,70.0,985.5,False,27.3,282,4.4
112,6725.773,18.3,71.0,985.7,False,26.8,276,4.5
113,6785.777,18.2,71.0,985.5,False,26.8,279,3.4
114,6845.772,18.2,71.0,985.7,False,26.9,282,3.9
115,6905.777,18.2,71.0,985.7,False,26.7,287,4.1
116,6965.774,18.1,72.0,985.7,False,26.8,290,2.7
117,7025.781,18.0,71.0,985.7,False,26.4,270,5.5
118,7085.775,18.0,72.0,985.7,False,26.5,293,3.4
119,7145.774,18.1,71.0,985.7,False,26.5,284,5.0
120,7205.774,18.0,72.0,985.7,False,26.5,286,3.7
121,7265.78,18.0,71.0,985.7,False,26.4,289,5.1
122,7325.794,17.9,71.0,985.5,False,26.4,288,4.5
123,7385.775,18.0,71.0,985.7,False,26.1,287,4.8
124,7445.777,17.9,71.0,985.7,False,26.2,284,4.5
125,7505.776,18.0,71.0,985.7,False,26.0,275,4.6
126,7565.781,18.0,72.0,985.7,False,26.1,286,3.9
127,7625.785,18.0,71.0,985.7,False,26.1,285,3.7
128,7685.776,18.0,72.0,985.7,False,26.1,292,3.5
129,7745.775,18.1,71.0,985.7,False,26.1,296,3.7
130,7805.774,18.1,70.0,985.7,True,26.1,289,4.6
131,7865.773,18.1,71.0,985.7,False,26.1,291,4.3
132,7925.779,18.1,71.0,985.7,False,25.7,290,4.1
133,7985.773,18.1,71.0,985.7,False,25.8,281,3.9
134,8045.774,18.1,70.0,985.7,True,25.8,289,3.7
135,8105.775,18.2,70.0,985.7,True,25.9,286,4.5
136,8165.81,18.1,70.0,985.7,False,25.8,293,5.0
137,8225.777,18.1,70.0,985.9,False,25.6,291,5.0
138,8285.794,18.1,70.0,985.7,False,25.5,280,4.5
139,8345.776,18.1,70.0,985.7,False,25.5,283,5.4
140,8405.781,18.0,69.0,985.7,False,25.5,283,4.8
141,8465.825,18.0,70.0,985.9,True,25.2,288,4.1
142,8525.771,18.0,69.0,985.9,True,25.2,294,5.6
143,8585.774,18.0,70.0,985.9,True,25.1,279,4.4
144,8645.774,18.0,70.0,985.9,True,25.1,284,3.5
145,8705.774,18.1,69.0,985.7,True,24.8,288,4.1
146,8765.773,18.1,70.0,986.0,True,24.8,283,4.5
147,8825.77,18.1,70.0,985.9,True,24.8,291,5.4
148,8885.774,18.0,70.0,985.9,True,24.8,282,4.8
149,8945.773,18.0,70.0,986.0,True,24.7,287,5.0
150,9005.778,18.0,70.0,985.9,True,24.6,285,5.0
151,9065.778,18.0,70.0,986.0,True,24.6,281,4.8
152,9125.774,18.0,70.0,986.0,True,24.6,304,3.7
153,9185.765,18.1,70.0,986.0,True,24.7,287,3.4
154,9245.775,18.1,69.0,986.0,True,24.7,274,3.7
155,9305.775,18.1,70.0,986.0,True,24.7,289,3.2
156,9365.778,18.1,70.0,986.0,True,24.7,281,2.5
157,9425.775,18.1,69.0,986.2,False,24.7,272,4.5
158,9485.776,18.1,69.0,986.2,True,24.4,278,4.5
159,9545.778,18.1,70.0,986.0,True,24.3,286,4.9
160,9605.776,18.1,70.0,986.0,True,24.2,284,4.5
161,9665.773,18.0,70.0,986.0,True,23.9,283,4.5
162,9725.772,18.0,70.0,986.0,True,23.7,253,4.8
163,9785.774,17.9,71.0,986.2,True,23.5,275,3.7
164,9845.777,17.9,71.0,986.2,True,23.5,283,4.6
165,9905.778,17.9,71.0,986.0,True,23.4,290,4.0
166,9965.771,17.8,72.0,986.0,True,22.8,290,4.1
