,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,45.385,19.0,71.0,1016.0,True,22.8,0,0.0
1,105.378,19.0,71.0,1016.0,True,22.9,342,0.0
2,165.386,19.0,70.0,1016.0,True,23.0,69,0.6
3,225.386,18.9,69.0,1016.0,True,23.0,117,0.5
4,285.385,18.8,69.0,1016.0,True,22.9,89,0.6
5,345.39,18.8,70.0,1015.9,True,22.8,198,0.8
6,405.391,18.7,69.0,1015.9,True,22.8,232,0.8
7,465.387,18.7,70.0,1015.7,True,22.8,0,0.4
8,525.387,18.7,71.0,1015.9,True,22.8,38,0.6
9,585.41,18.6,71.0,1015.9,True,22.8,79,0.8
10,645.386,18.7,71.0,1015.9,True,22.8,0,0.8
11,705.386,18.7,71.0,1016.0,True,22.8,140,0.6
12,765.388,18.6,72.0,1015.9,True,22.7,104,0.5
13,825.389,18.6,71.0,1015.9,True,22.7,7,0.5
14,885.388,18.6,71.0,1015.9,True,22.7,28,0.6
15,945.388,18.5,71.0,1015.9,True,22.5,3,0.6
16,1005.386,18.4,72.0,1015.9,True,22.4,272,0.6
17,1065.389,18.4,72.0,1015.9,True,22.4,201,0.8
18,1125.388,18.4,71.0,1016.0,True,22.6,210,0.6
19,1185.388,18.4,72.0,1016.0,True,22.6,0,0.4
20,1245.387,18.5,72.0,1016.0,True,22.5,346,0.3
21,1305.387,18.4,72.0,1016.0,True,22.6,16,0.6
22,1365.396,18.3,71.0,1016.0,True,22.5,22,0.6
23,1425.387,18.2,71.0,1016.0,True,22.4,25,0.6
24,1485.404,18.2,71.0,1016.0,True,22.4,49,0.6
25,1545.416,18.3,71.0,1016.0,True,22.4,45,0.6
26,1605.42,18.3,72.0,1016.0,True,22.4,340,0.6
27,1665.42,18.5,74.0,1016.2,True,22.4,19,1.3
28,1725.419,18.4,74.0,1016.0,True,22.4,353,1.1
29,1785.457,18.4,74.0,1016.2,True,22.5,340,1.6
30,1845.434,18.4,75.0,1016.0,True,22.4,331,1.2
31,1905.434,18.4,75.0,1016.2,True,22.2,346,1.0
32,1965.436,18.3,75.0,1016.2,True,22.2,347,1.0
33,2025.45,18.3,75.0,1016.2,True,22.0,358,1.2
34,2085.544,18.1,74.0,1016.0,True,21.9,7,1.1
35,2145.487,18.1,75.0,1016.0,True,21.9,7,1.0
36,2205.485,18.2,76.0,1016.0,True,21.8,4,1.0
37,2265.496,18.2,76.0,1016.0,True,21.7,332,1.2
38,2325.496,18.1,77.0,1016.0,True,21.8,326,0.8
39,2385.517,18.0,76.0,1016.0,True,21.8,300,1.1
