,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,18.363,25.2,90.0,1007.7,True,24.5,21,0.8
1,78.355,25.0,90.0,1007.7,True,25.0,38,1.1
2,138.36,24.9,90.0,1007.9,True,25.1,55,0.8
3,198.355,24.8,91.0,1007.9,True,25.2,153,0.8
4,258.357,24.7,91.0,1007.7,True,25.5,171,0.6
5,318.367,24.6,92.0,1007.9,True,26.0,0,0.6
6,378.355,24.5,92.0,1007.9,True,26.1,29,0.0
7,438.355,24.4,91.0,1007.9,True,26.0,9,0.8
8,498.347,24.4,91.0,1007.9,True,26.0,58,1.2
9,558.356,24.4,91.0,1007.7,True,26.0,58,0.8
10,618.354,24.3,92.0,1007.7,True,26.1,41,0.5
11,678.356,24.3,92.0,1007.7,True,26.2,8,0.6
12,738.395,24.3,92.0,1007.7,True,26.4,34,0.6
13,798.355,24.3,92.0,1007.7,True,26.4,70,0.6
14,858.355,24.3,93.0,1007.7,True,26.5,139,0.4
15,918.355,24.4,93.0,1007.7,True,26.5,143,0.4
16,978.354,24.4,93.0,1007.7,True,26.4,173,0.8
17,1038.355,24.4,93.0,1007.7,True,26.4,170,1.0
18,1098.392,24.4,93.0,1007.7,True,26.5,159,1.2
19,1158.355,24.4,93.0,1007.7,True,26.7,160,1.3
20,1218.357,24.4,93.0,1007.5,True,27.0,167,1.6
21,1278.357,24.4,93.0,1007.5,True,27.0,167,1.7
22,1338.378,24.4,93.0,1007.5,True,27.3,167,1.7
23,1398.358,24.4,94.0,1007.5,True,27.4,166,1.8
24,1458.358,24.5,93.0,1007.5,True,27.5,162,2.4
25,1518.355,24.5,93.0,1007.5,True,27.7,160,2.2
26,1578.356,24.5,93.0,1007.4,True,28.0,162,2.4
27,1638.361,24.4,94.0,1007.4,True,27.9,163,2.7
28,1698.359,24.4,93.0,1007.5,True,27.7,161,2.5
29,1758.354,24.5,93.0,1007.5,True,27.7,163,1.8
30,1818.355,24.4,93.0,1007.5,True,27.9,157,1.3
31,1878.357,24.4,93.0,1007.5,True,28.1,159,1.5
32,1938.359,24.4,93.0,1007.5,True,28.1,173,1.0
33,1998.358,24.4,93.0,1007.5,True,28.2,141,0.8
34,2058.355,24.4,93.0,1007.5,True,28.3,152,0.6
35,2118.36,24.4,93.0,1007.5,True,28.4,131,0.8
36,2178.356,24.4,93.0,1007.5,True,28.5,135,1.1
37,2238.356,24.4,93.0,1007.5,True,28.7,145,1.0
38,2298.357,24.3,93.0,1007.5,True,28.6,140,0.8
39,2358.358,24.4,93.0,1007.5,True,28.6,158,0.8
40,2418.358,24.3,93.0,1007.5,True,28.7,149,0.8
41,2478.356,24.5,94.0,1007.4,True,28.9,0,0.3
42,2538.359,24.5,94.0,1007.5,True,28.9,3,0.0
43,2598.358,24.6,94.0,1007.5,True,29.2,44,0.6
44,2658.359,24.7,94.0,1007.5,True,29.3,20,0.6
45,2718.356,24.7,93.0,1007.4,True,29.4,0,1.1
46,2778.357,24.8,93.0,1007.5,False,29.9,345,0.8
47,2838.356,24.8,93.0,1007.4,False,29.9,0,0.3
48,2898.358,24.9,93.0,1007.2,False,29.9,9,1.0
49,2958.359,24.8,93.0,1007.4,False,29.9,5,0.8
50,3018.356,24.8,93.0,1007.4,False,30.0,10,0.8
51,3078.359,24.8,93.0,1007.4,False,30.0,26,0.8
52,3138.365,24.9,93.0,1007.5,False,30.1,170,0.6
53,3198.357,24.9,94.0,1007.2,False,30.4,0,0.0
54,3258.357,24.9,93.0,1007.5,False,30.7,181,0.0
55,3318.39,25.0,94.0,1007.4,False,30.9,164,0.6
56,3378.365,25.1,93.0,1007.5,False,30.9,137,0.6
57,3438.357,25.1,93.0,1007.5,False,31.0,152,0.5
58,3498.361,25.1,93.0,1007.4,False,31.0,155,0.6
59,3558.358,25.1,92.0,1007.4,False,31.1,156,0.8
60,3618.358,25.1,92.0,1007.5,False,30.7,148,0.8
61,3678.358,25.1,93.0,1007.5,False,30.6,154,0.8
62,3738.358,25.2,93.0,1007.5,False,30.6,145,0.6
63,3798.358,25.1,92.0,1007.5,False,30.6,128,0.6
64,3858.364,25.2,92.0,1007.5,False,30.5,150,0.6
65,3918.358,25.2,92.0,1007.5,False,30.5,140,0.6
66,3978.358,25.2,92.0,1007.5,False,30.5,31,0.4
67,4038.376,25.3,92.0,1007.5,False,30.8,39,0.0
68,4098.427,25.3,92.0,1007.5,False,30.8,9,0.6
69,4158.382,25.4,92.0,1007.5,False,30.8,11,1.0
70,4218.389,25.3,91.0,1007.5,False,30.8,354,1.1
71,4278.39,25.3,92.0,1007.5,False,30.5,16,1.1
72,4338.414,25.3,92.0,1007.5,False,30.2,4,0.6
73,4398.406,25.4,91.0,1007.5,False,30.1,10,0.8
74,4458.405,25.4,91.0,1007.7,False,30.1,11,0.6
75,4518.403,25.4,91.0,1007.5,False,30.2,23,0.8
76,4578.405,25.3,90.0,1007.5,False,30.8,9,0.6
77,4638.406,25.4,91.0,1007.5,False,31.1,8,0.8
78,4698.432,25.4,90.0,1007.5,False,31.1,20,0.8
79,4758.437,25.3,90.0,1007.5,False,31.1,19,0.8
80,4818.454,25.3,90.0,1007.7,False,30.8,22,0.8
81,4878.455,25.4,89.0,1007.5,False,30.7,13,1.1
82,4938.468,25.4,90.0,1007.7,False,30.9,11,1.1
83,4998.486,25.5,88.0,1007.7,False,31.0,9,1.2
84,5058.484,25.5,88.0,1007.7,False,31.0,7,1.0
85,5118.484,25.5,87.0,1007.7,False,31.0,28,1.2
86,5178.493,25.6,87.0,1007.7,False,30.8,8,1.1
87,5238.483,25.6,86.0,1007.7,False,30.7,9,1.2
88,5298.483,25.7,86.0,1007.7,False,30.7,12,0.8
89,5358.488,25.7,85.0,1007.7,False,30.9,6,1.1
90,5418.506,25.7,85.0,1007.7,False,31.0,8,1.1
91,5478.494,25.8,85.0,1007.7,False,31.0,8,1.1
92,5538.515,25.8,84.0,1007.9,False,30.9,18,0.8
93,5598.536,25.9,83.0,1007.9,False,30.6,8,0.8
94,5658.558,25.9,83.0,1007.7,False,30.6,8,1.2
95,5718.536,26.0,83.0,1007.9,False,30.6,4,1.3
96,5778.54,26.0,82.0,1007.9,False,30.5,5,1.6
97,5838.537,26.0,82.0,1007.9,False,30.5,356,1.6
98,5898.549,26.0,82.0,1007.9,False,30.4,0,1.5
99,5958.562,26.1,81.0,1007.9,False,30.4,4,1.3
100,6018.578,26.1,81.0,1007.9,False,30.2,19,1.6
101,6078.58,26.2,81.0,1007.9,False,29.9,10,1.2
102,6138.584,26.2,81.0,1007.9,False,29.9,14,1.5
103,6198.583,26.2,81.0,1007.9,False,29.8,11,1.1
104,6258.578,26.2,81.0,1007.9,False,29.8,20,1.2
105,6318.578,26.3,80.0,1007.9,False,29.7,22,1.2
106,6378.594,26.3,80.0,1008.0,False,29.8,36,0.8
107,6438.604,26.3,80.0,1007.9,False,29.9,28,1.5
108,6498.597,26.3,80.0,1007.9,False,29.7,349,0.8
109,6558.597,26.3,81.0,1008.0,False,30.0,15,1.1
110,6618.597,26.3,81.0,1008.0,False,30.0,354,1.0
111,6678.585,26.3,81.0,1007.9,False,29.9,15,1.0
112,6738.61,26.4,80.0,1008.0,False,29.8,9,0.8
113,6798.612,26.4,81.0,1008.0,False,29.8,8,0.4
114,6858.611,26.4,82.0,1008.0,False,30.0,2,0.8
115,6918.611,26.4,81.0,1008.0,False,30.1,20,1.3
116,6978.621,26.4,81.0,1008.0,False,30.0,17,0.8
117,7038.616,26.5,81.0,1008.0,False,29.9,10,0.8
118,7098.603,26.5,82.0,1008.0,False,30.0,20,1.0
119,7158.612,26.5,81.0,1008.0,False,29.9,4,1.2
120,7218.612,26.5,82.0,1008.0,False,29.8,28,1.0
121,7278.627,26.4,81.0,1008.0,False,29.8,17,0.6
122,7338.615,26.5,82.0,1008.0,False,29.8,7,0.6
123,7398.616,26.6,81.0,1008.0,False,29.7,16,1.1
124,7458.611,26.5,81.0,1008.0,False,29.7,11,1.2
125,7518.613,26.6,82.0,1008.0,False,29.7,10,0.6
126,7578.618,26.7,81.0,1008.0,False,29.6,0,0.4
127,7638.615,26.7,82.0,1008.0,False,29.7,38,0.5
128,7698.612,26.8,82.0,1008.0,False,30.1,25,0.8
129,7758.627,26.7,81.0,1008.0,False,29.5,9,0.8
130,7818.664,26.8,82.0,1008.0,False,29.5,121,0.6
131,7878.646,26.8,82.0,1008.0,False,29.5,119,0.6
132,7938.681,26.9,82.0,1008.0,False,29.9,165,0.6
133,7998.658,26.9,83.0,1008.0,False,29.8,132,1.3
134,8058.649,26.9,82.0,1008.0,False,29.8,176,0.8
135,8118.66,26.8,83.0,1007.9,False,29.6,123,0.6
136,8178.659,26.8,82.0,1008.0,False,29.4,194,0.8
137,8238.661,26.9,83.0,1008.0,False,29.4,51,1.2
138,8298.675,26.9,83.0,1008.0,False,29.3,164,0.8
139,8358.677,26.9,83.0,1008.0,False,29.4,111,1.7
