race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time,tyre_num,used,tyre_age,pit_this_lap,next_pit,soft,medium,hard,total_laps,lap_pcts,tyre_age_pct,next_pit_pcts,distances
Abu Dhabi,0,VER,821,Red Bull,Red Bull RBPTH001,1,83.824,1.0,0,0.0,1,25,18.077,38.254,32.88,89.211,288.3,314.9,215.0,304.1,Mediumnew,0.0,2,0,0,0,20,0,1,0,58.0,0.0,0.0,0.3448275862068966,5281
Abu Dhabi,1,VER,821,Red Bull,Red Bull RBPTH001,1,83.824,1.0,92.198,0.0,1,25,18.077,38.254,32.88,89.211,288.3,314.9,215.0,304.1,Mediumnew,0.0,2,0,1,0,20,0,1,0,58.0,0.017241379310344827,0.017241379310344827,0.3448275862068966,5281
Abu Dhabi,2,VER,821,Red Bull,Red Bull RBPTH001,1,83.824,1.0,90.541,0.0,1,25,18.077,38.254,32.88,89.211,288.3,314.9,215.0,304.1,Mediumnew,0.0,2,0,2,0,20,0,1,0,58.0,0.034482758620689655,0.034482758620689655,0.3448275862068966,5281
Abu Dhabi,3,VER,821,Red Bull,Red Bull RBPTH001,1,83.824,1.0,89.968,0.0,1,25,18.077,38.254,32.88,89.211,288.3,314.9,215.0,304.1,Mediumnew,0.0,2,0,3,0,20,0,1,0,58.0,0.05172413793103448,0.05172413793103448,0.3448275862068966,5281
Abu Dhabi,4,VER,821,Red Bull,Red Bull RBPTH001,1,83.824,1.0,90.368,0.0,1,25,18.077,38.254,32.88,89.211,288.3,314.9,215.0,304.1,Mediumnew,0.0,2,0,4,0,20,0,1,0,58.0,0.06896551724137931,0.06896551724137931,0.3448275862068966,5281
Abu Dhabi,5,VER,821,Red Bull,Red Bull RBPTH001,1,83.824,1.0,90.502,0.0,1,25,18.077,38.254,32.88,89.211,288.3,314.9,215.0,304.1,Mediumnew,0.0,2,0,5,0,20,0,1,0,58.0,0.08620689655172414,0.08620689655172414,0.3448275862068966,5281
Abu Dhabi,6,VER,821,Red Bull,Red Bull RBPTH001,1,83.824,1.0,90.567,0.0,1,25,18.077,38.254,32.88,89.211,288.3,314.9,215.0,304.1,Mediumnew,0.0,2,0,6,0,20,0,1,0,58.0,0.10344827586206896,0.10344827586206896,0.3448275862068966,5281
Abu Dhabi,7,VER,821,Red Bull,Red Bull RBPTH001,1,83.824,1.0,90.661,0.0,1,25,18.077,38.254,32.88,89.211,288.3,314.9,215.0,304.1,Mediumnew,0.0,2,0,7,0,20,0,1,0,58.0,0.1206896551724138,0.1206896551724138,0.3448275862068966,5281
Abu Dhabi,8,VER,821,Red Bull,Red Bull RBPTH001,1,83.824,1.0,90.691,0.0,1,25,18.077,38.254,32.88,89.211,288.3,314.9,215.0,304.1,Mediumnew,0.0,2,0,8,0,20,0,1,0,58.0,0.13793103448275862,0.13793103448275862,0.3448275862068966,5281
Abu Dhabi,9,VER,821,Red Bull,Red Bull RBPTH001,1,83.824,1.0,90.601,0.0,1,25,18.077,38.254,32.88,89.211,288.3,314.9,215.0,304.1,Mediumnew,0.0,2,0,9,0,20,0,1,0,58.0,0.15517241379310345,0.15517241379310345,0.3448275862068966,5281
Abu Dhabi,10,VER,821,Red Bull,Red Bull RBPTH001,1,83.824,1.0,90.621,0.0,1,25,18.077,38.254,32.88,89.211,288.3,314.9,215.0,304.1,Mediumnew,0.0,2,0,10,0,20,0,1,0,58.0,0.1724137931034483,0.1724137931034483,0.3448275862068966,5281
Abu Dhabi,11,VER,821,Red Bull,Red Bull RBPTH001,1,83.824,1.0,90.798,0.0,1,25,18.077,38.254,32.88,89.211,288.3,314.9,215.0,304.1,Mediumnew,0.0,2,0,11,0,20,0,1,0,58.0,0.1896551724137931,0.1896551724137931,0.3448275862068966,5281
Abu Dhabi,12,VER,821,Red Bull,Red Bull RBPTH001,1,83.824,1.0,90.921,0.0,1,25,18.077,38.254,32.88,89.211,288.3,314.9,215.0,304.1,Mediumnew,0.0,2,0,12,0,20,0,1,0,58.0,0.20689655172413793,0.20689655172413793,0.3448275862068966,5281
Abu Dhabi,13,VER,821,Red Bull,Red Bull RBPTH001,1,83.824,1.0,90.747,0.0,1,25,18.077,38.254,32.88,89.211,288.3,314.9,215.0,304.1,Mediumnew,0.0,2,0,13,0,20,0,1,0,58.0,0.22413793103448276,0.22413793103448276,0.3448275862068966,5281
