race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time,tyre_num,used,tyre_age,pit_this_lap,next_pit,soft,medium,hard,total_laps,lap_pcts,tyre_age_pct,next_pit_pcts,distances
Australian,0,LEC,833,Ferrari,Ferrari 066/7,1,77.868,1.0,0,0.0,1,26,28.044,17.878,34.338,80.26,280.0,316.2,302.2,309.1,Mediumnew,0.0,2,0,0,0,22,0,1,0,58.0,0.0,0.0,0.3793103448275862,5278
Australian,1,LEC,833,Ferrari,Ferrari 066/7,1,77.868,1.0,89.695,0.0,1,26,28.044,17.878,34.338,80.26,280.0,316.2,302.2,309.1,Mediumnew,0.0,2,0,1,0,22,0,1,0,58.0,0.017241379310344827,0.017241379310344827,0.3793103448275862,5278
Australian,2,LEC,833,Ferrari,Ferrari 066/7,1,77.868,1.0,84.746,0.0,1,26,28.044,17.878,34.338,80.26,280.0,316.2,302.2,309.1,Mediumnew,0.0,2,0,2,0,22,0,1,0,58.0,0.034482758620689655,0.034482758620689655,0.3793103448275862,5278
Australian,3,LEC,833,Ferrari,Ferrari 066/7,1,77.868,1.0,103.345,0.0,1,26,28.044,17.878,34.338,80.26,280.0,316.2,302.2,309.1,Mediumnew,0.0,2,0,3,0,22,0,1,0,58.0,0.05172413793103448,0.05172413793103448,0.3793103448275862,5278
Australian,4,LEC,833,Ferrari,Ferrari 066/7,1,77.868,1.0,135.102,0.0,1,26,28.044,17.878,34.338,80.26,280.0,316.2,302.2,309.1,Mediumnew,0.0,2,0,4,0,22,0,1,0,58.0,0.06896551724137931,0.06896551724137931,0.3793103448275862,5278
Australian,5,LEC,833,Ferrari,Ferrari 066/7,1,77.868,1.0,134.936,0.0,1,26,28.044,17.878,34.338,80.26,280.0,316.2,302.2,309.1,Mediumnew,0.0,2,0,5,0,22,0,1,0,58.0,0.08620689655172414,0.08620689655172414,0.3793103448275862,5278
Australian,6,LEC,833,Ferrari,Ferrari 066/7,1,77.868,1.0,144.953,0.0,1,26,28.044,17.878,34.338,80.26,280.0,316.2,302.2,309.1,Mediumnew,0.0,2,0,6,0,22,0,1,0,58.0,0.10344827586206896,0.10344827586206896,0.3793103448275862,5278
Australian,7,LEC,833,Ferrari,Ferrari 066/7,1,77.868,1.0,83.957,0.0,1,26,28.044,17.878,34.338,80.26,280.0,316.2,302.2,309.1,Mediumnew,0.0,2,0,7,0,22,0,1,0,58.0,0.1206896551724138,0.1206896551724138,0.3793103448275862,5278
Australian,8,LEC,833,Ferrari,Ferrari 066/7,1,77.868,1.0,83.589,0.0,1,26,28.044,17.878,34.338,80.26,280.0,316.2,302.2,309.1,Mediumnew,0.0,2,0,8,0,22,0,1,0,58.0,0.13793103448275862,0.13793103448275862,0.3793103448275862,5278
Australian,9,LEC,833,Ferrari,Ferrari 066/7,1,77.868,1.0,83.39,0.0,1,26,28.044,17.878,34.338,80.26,280.0,316.2,302.2,309.1,Mediumnew,0.0,2,0,9,0,22,0,1,0,58.0,0.15517241379310345,0.15517241379310345,0.3793103448275862,5278
Australian,10,LEC,833,Ferrari,Ferrari 066/7,1,77.868,1.0,83.36,0.0,1,26,28.044,17.878,34.338,80.26,280.0,316.2,302.2,309.1,Mediumnew,0.0,2,0,10,0,22,0,1,0,58.0,0.1724137931034483,0.1724137931034483,0.3793103448275862,5278
Australian,11,LEC,833,Ferrari,Ferrari 066/7,1,77.868,1.0,83.356,0.0,1,26,28.044,17.878,34.338,80.26,280.0,316.2,302.2,309.1,Mediumnew,0.0,2,0,11,0,22,0,1,0,58.0,0.1896551724137931,0.1896551724137931,0.3793103448275862,5278
Australian,12,LEC,833,Ferrari,Ferrari 066/7,1,77.868,1.0,83.325,0.0,1,26,28.044,17.878,34.338,80.26,280.0,316.2,302.2,309.1,Mediumnew,0.0,2,0,12,0,22,0,1,0,58.0,0.20689655172413793,0.20689655172413793,0.3793103448275862,5278
