race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time,tyre_num,used,tyre_age,pit_this_lap,next_pit,total_laps,lap_pcts,tyre_age_pct,next_pit_pcts,distances
Austrian,0,LEC,833,Ferrari,Ferrari 066/7,2,0.0,2.0,0,0.0,1 +1,25,17.181,30.093,20.268,67.542,318.3,242.8,283.3,313.7,Mediumnew,0.0,2,0,0,0,26,71.0,0.0,0.0,0.36619718309859156,4318
Austrian,1,LEC,833,Ferrari,Ferrari 066/7,2,0.0,2.0,73.649,0.927,1 +1,25,17.181,30.093,20.268,67.542,318.3,242.8,283.3,313.7,Mediumnew,0.0,2,0,1,0,26,71.0,0.014084507042253521,0.014084507042253521,0.36619718309859156,4318
Austrian,2,LEC,833,Ferrari,Ferrari 066/7,2,0.0,2.0,70.609,1.163,1 +1,25,17.181,30.093,20.268,67.542,318.3,242.8,283.3,313.7,Mediumnew,0.0,2,0,2,0,26,71.0,0.028169014084507043,0.028169014084507043,0.36619718309859156,4318
Austrian,3,LEC,833,Ferrari,Ferrari 066/7,2,0.0,2.0,69.928,0.926,1 +1,25,17.181,30.093,20.268,67.542,318.3,242.8,283.3,313.7,Mediumnew,0.0,2,0,3,0,26,71.0,0.04225352112676056,0.04225352112676056,0.36619718309859156,4318
Austrian,4,LEC,833,Ferrari,Ferrari 066/7,2,0.0,2.0,70.138,0.936,1 +1,25,17.181,30.093,20.268,67.542,318.3,242.8,283.3,313.7,Mediumnew,0.0,2,0,4,0,26,71.0,0.056338028169014086,0.056338028169014086,0.36619718309859156,4318
Austrian,5,LEC,833,Ferrari,Ferrari 066/7,2,0.0,2.0,70.268,0.944,1 +1,25,17.181,30.093,20.268,67.542,318.3,242.8,283.3,313.7,Mediumnew,0.0,2,0,5,0,26,71.0,0.07042253521126761,0.07042253521126761,0.36619718309859156,4318
Austrian,6,LEC,833,Ferrari,Ferrari 066/7,2,0.0,2.0,70.329,0.916,1 +1,25,17.181,30.093,20.268,67.542,318.3,242.8,283.3,313.7,Mediumnew,0.0,2,0,6,0,26,71.0,0.08450704225352113,0.08450704225352113,0.36619718309859156,4318
Austrian,7,LEC,833,Ferrari,Ferrari 066/7,2,0.0,2.0,70.321,0.678,1 +1,25,17.181,30.093,20.268,67.542,318.3,242.8,283.3,313.7,Mediumnew,0.0,2,0,7,0,26,71.0,0.09859154929577464,0.09859154929577464,0.36619718309859156,4318
Austrian,8,LEC,833,Ferrari,Ferrari 066/7,2,0.0,2.0,70.721,0.636,1 +1,25,17.181,30.093,20.268,67.542,318.3,242.8,283.3,313.7,Mediumnew,0.0,2,0,8,0,26,71.0,0.11267605633802817,0.11267605633802817,0.36619718309859156,4318
Austrian,9,LEC,833,Ferrari,Ferrari 066/7,2,0.0,2.0,70.883,0.672,1 +1,25,17.181,30.093,20.268,67.542,318.3,242.8,283.3,313.7,Mediumnew,0.0,2,0,9,0,26,71.0,0.1267605633802817,0.1267605633802817,0.36619718309859156,4318
Austrian,10,LEC,833,Ferrari,Ferrari 066/7,2,0.0,2.0,71.403,0.679,1 +1,25,17.181,30.093,20.268,67.542,318.3,242.8,283.3,313.7,Mediumnew,0.0,2,0,10,0,26,71.0,0.14084507042253522,0.14084507042253522,0.36619718309859156,4318
