race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time,tyre_num,used,tyre_age,pit_this_lap,next_pit
Bahrain,0,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,0.0,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softnew,0.0,1,0,0,0,15
Bahrain,1,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,99.07,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softnew,0.0,1,0,1,0,15
Bahrain,2,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,97.853,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softnew,0.0,1,0,2,0,15
Bahrain,3,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,98.272,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softnew,0.0,1,0,3,0,15
Bahrain,4,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,98.414,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softnew,0.0,1,0,4,0,15
Bahrain,5,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,98.471,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softnew,0.0,1,0,5,0,15
Bahrain,6,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,98.712,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softnew,0.0,1,0,6,0,15
Bahrain,7,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,98.835,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softnew,0.0,1,0,7,0,15
Bahrain,8,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,98.951,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softnew,0.0,1,0,8,0,15
Bahrain,9,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,98.807,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softnew,0.0,1,0,9,0,15
Bahrain,10,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,99.123,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softnew,0.0,1,0,10,0,15
Bahrain,11,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,99.306,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softnew,0.0,1,0,11,0,15
Bahrain,12,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,99.256,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softnew,0.0,1,0,12,0,15
Bahrain,13,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,99.279,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softnew,0.0,1,0,13,0,15
Bahrain,14,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,99.629,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softnew,0.0,1,0,14,0,15
Bahrain,15,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,102.041,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,25.012,1,1,0,1,31
Bahrain,16,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,117.66,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,1,0,31
Bahrain,17,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,97.52,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,2,0,31
Bahrain,18,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,97.634,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,3,0,31
Bahrain,19,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,97.408,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,4,0,31
Bahrain,20,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,97.562,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,5,0,31
Bahrain,21,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,97.807,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,6,0,31
Bahrain,22,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,97.752,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,7,0,31
Bahrain,23,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,97.774,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,8,0,31
Bahrain,24,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,97.913,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,9,0,31
Bahrain,25,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,98.061,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,10,0,31
Bahrain,26,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,98.371,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,11,0,31
Bahrain,27,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,98.785,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,12,0,31
Bahrain,28,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,99.051,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,13,0,31
Bahrain,29,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,98.887,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,14,0,31
Bahrain,30,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,99.354,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,15,0,31
Bahrain,31,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,101.545,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,24.527,2,0,0,1,46
Bahrain,32,LEC,833,Ferrari,Ferrari 066/7,1,90.558,3.0,116.325,8.875,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0.0,2,0,1,0,46
Bahrain,33,LEC,833,Ferrari,Ferrari 066/7,1,90.558,3.0,96.674,3.634,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0.0,2,0,2,0,46
Bahrain,34,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,96.399,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0.0,2,0,3,0,46
Bahrain,35,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,96.501,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0.0,2,0,4,0,46
Bahrain,36,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,96.561,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0.0,2,0,5,0,46
Bahrain,37,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,96.663,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0.0,2,0,6,0,46
Bahrain,38,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,96.623,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0.0,2,0,7,0,46
Bahrain,39,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,96.939,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0.0,2,0,8,0,46
Bahrain,40,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,96.807,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0.0,2,0,9,0,46
Bahrain,41,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,97.044,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0.0,2,0,10,0,46
Bahrain,42,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,97.04,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0.0,2,0,11,0,46
Bahrain,43,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,97.346,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0.0,2,0,12,0,46
Bahrain,44,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,97.509,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0.0,2,0,13,0,46
Bahrain,45,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,97.413,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0.0,2,0,14,0,46
Bahrain,46,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,125.151,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,24.613,1,1,0,1,0
Bahrain,47,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,163.846,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,1,0,0
Bahrain,48,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,151.364,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,2,0,0
Bahrain,49,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,146.221,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,3,0,0
Bahrain,50,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,144.429,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,4,0,0
Bahrain,51,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,94.57,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,5,0,0
Bahrain,52,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,95.027,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,6,0,0
Bahrain,53,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,95.127,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,7,0,0
Bahrain,54,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,95.429,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,8,0,0
Bahrain,55,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1.0,95.427,0.0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0.0,1,1,9,0,0
