race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time,tyre_num,used,tyre_age,pit_this_lap,next_pit,soft,medium,hard,total_laps,lap_pcts,tyre_age_pct,next_pit_pcts,distances
Belgian,0,VER,821,Red Bull,Red Bull RBPTH001,14,103.665,14.0,0,0.0,1 +13,26,31.597,47.81,29.864,109.271,342.2,199.7,217.2,313.8,Softnew,0.0,1,0,0,0,15,1,0,0,44.0,0.0,0.0,0.3409090909090909,7004
Belgian,1,VER,821,Red Bull,Red Bull RBPTH001,14,103.665,8.0,123.282,9.339,1 +13,26,31.597,47.81,29.864,109.271,342.2,199.7,217.2,313.8,Softnew,0.0,1,0,1,0,15,1,0,0,44.0,0.022727272727272728,0.022727272727272728,0.3409090909090909,7004
Belgian,2,VER,821,Red Bull,Red Bull RBPTH001,14,103.665,8.0,139.517,17.788,1 +13,26,31.597,47.81,29.864,109.271,342.2,199.7,217.2,313.8,Softnew,0.0,1,0,2,0,15,1,0,0,44.0,0.045454545454545456,0.045454545454545456,0.3409090909090909,7004
Belgian,3,VER,821,Red Bull,Red Bull RBPTH001,14,103.665,8.0,184.045,14.026,1 +13,26,31.597,47.81,29.864,109.271,342.2,199.7,217.2,313.8,Softnew,0.0,1,0,3,0,15,1,0,0,44.0,0.06818181818181818,0.06818181818181818,0.3409090909090909,7004
Belgian,4,VER,821,Red Bull,Red Bull RBPTH001,14,103.665,8.0,176.46,2.934,1 +13,26,31.597,47.81,29.864,109.271,342.2,199.7,217.2,313.8,Softnew,0.0,1,0,4,0,15,1,0,0,44.0,0.09090909090909091,0.09090909090909091,0.3409090909090909,7004
Belgian,5,VER,821,Red Bull,Red Bull RBPTH001,14,103.665,6.0,113.951,4.687,1 +13,26,31.597,47.81,29.864,109.271,342.2,199.7,217.2,313.8,Softnew,0.0,1,0,5,0,15,1,0,0,44.0,0.11363636363636363,0.11363636363636363,0.3409090909090909,7004
Belgian,6,VER,821,Red Bull,Red Bull RBPTH001,14,103.665,5.0,113.748,6.113,1 +13,26,31.597,47.81,29.864,109.271,342.2,199.7,217.2,313.8,Softnew,0.0,1,0,6,0,15,1,0,0,44.0,0.13636363636363635,0.13636363636363635,0.3409090909090909,7004
Belgian,7,VER,821,Red Bull,Red Bull RBPTH001,14,103.665,4.0,111.954,5.308,1 +13,26,31.597,47.81,29.864,109.271,342.2,199.7,217.2,313.8,Softnew,0.0,1,0,7,0,15,1,0,0,44.0,0.1590909090909091,0.1590909090909091,0.3409090909090909,7004
Belgian,8,VER,821,Red Bull,Red Bull RBPTH001,14,103.665,3.0,112.641,3.869,1 +13,26,31.597,47.81,29.864,109.271,342.2,199.7,217.2,313.8,Softnew,0.0,1,0,8,0,15,1,0,0,44.0,0.18181818181818182,0.18181818181818182,0.3409090909090909,7004
Belgian,9,VER,821,Red Bull,Red Bull RBPTH001,14,103.665,3.0,113.532,2.776,1 +13,26,31.597,47.81,29.864,109.271,342.2,199.7,217.2,313.8,Softnew,0.0,1,0,9,0,15,1,0,0,44.0,0.20454545454545456,0.20454545454545456,0.3409090909090909,7004
