race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time,tyre_num,used,tyre_age,pit_this_lap,next_pit,soft,medium,hard,total_laps,lap_pcts,tyre_age_pct,next_pit_pcts,distances
French,0,VER,821,Red Bull,Red Bull RBPTH001,2,91.176,2.0,0,0.0,1 +1,25,24.659,29.578,43.057,97.294,111.1,282.0,299.8,337.0,Mediumnew,0.0,2,0,0,0,16,0,1,0,53.0,0.0,0.0,0.3018867924528302,5842
French,1,VER,821,Red Bull,Red Bull RBPTH001,2,91.176,2.0,104.415,1.064,1 +1,25,24.659,29.578,43.057,97.294,111.1,282.0,299.8,337.0,Mediumnew,0.0,2,0,1,0,16,0,1,0,53.0,0.018867924528301886,0.018867924528301886,0.3018867924528302,5842
French,2,VER,821,Red Bull,Red Bull RBPTH001,2,91.176,2.0,98.33,1.267,1 +1,25,24.659,29.578,43.057,97.294,111.1,282.0,299.8,337.0,Mediumnew,0.0,2,0,2,0,16,0,1,0,53.0,0.03773584905660377,0.03773584905660377,0.3018867924528302,5842
French,3,VER,821,Red Bull,Red Bull RBPTH001,2,91.176,2.0,98.117,0.685,1 +1,25,24.659,29.578,43.057,97.294,111.1,282.0,299.8,337.0,Mediumnew,0.0,2,0,3,0,16,0,1,0,53.0,0.05660377358490566,0.05660377358490566,0.3018867924528302,5842
French,4,VER,821,Red Bull,Red Bull RBPTH001,2,91.176,2.0,98.39,0.987,1 +1,25,24.659,29.578,43.057,97.294,111.1,282.0,299.8,337.0,Mediumnew,0.0,2,0,4,0,16,0,1,0,53.0,0.07547169811320754,0.07547169811320754,0.3018867924528302,5842
French,5,VER,821,Red Bull,Red Bull RBPTH001,2,91.176,2.0,98.72,0.61,1 +1,25,24.659,29.578,43.057,97.294,111.1,282.0,299.8,337.0,Mediumnew,0.0,2,0,5,0,16,0,1,0,53.0,0.09433962264150944,0.09433962264150944,0.3018867924528302,5842
French,6,VER,821,Red Bull,Red Bull RBPTH001,2,91.176,2.0,98.634,0.634,1 +1,25,24.659,29.578,43.057,97.294,111.1,282.0,299.8,337.0,Mediumnew,0.0,2,0,6,0,16,0,1,0,53.0,0.11320754716981132,0.11320754716981132,0.3018867924528302,5842
French,7,VER,821,Red Bull,Red Bull RBPTH001,2,91.176,2.0,99.219,0.565,1 +1,25,24.659,29.578,43.057,97.294,111.1,282.0,299.8,337.0,Mediumnew,0.0,2,0,7,0,16,0,1,0,53.0,0.1320754716981132,0.1320754716981132,0.3018867924528302,5842
French,8,VER,821,Red Bull,Red Bull RBPTH001,2,91.176,2.0,99.159,0.76,1 +1,25,24.659,29.578,43.057,97.294,111.1,282.0,299.8,337.0,Mediumnew,0.0,2,0,8,0,16,0,1,0,53.0,0.1509433962264151,0.1509433962264151,0.3018867924528302,5842
French,9,VER,821,Red Bull,Red Bull RBPTH001,2,91.176,2.0,99.13,0.749,1 +1,25,24.659,29.578,43.057,97.294,111.1,282.0,299.8,337.0,Mediumnew,0.0,2,0,9,0,16,0,1,0,53.0,0.16981132075471697,0.16981132075471697,0.3018867924528302,5842
French,10,VER,821,Red Bull,Red Bull RBPTH001,2,91.176,2.0,99.043,0.937,1 +1,25,24.659,29.578,43.057,97.294,111.1,282.0,299.8,337.0,Mediumnew,0.0,2,0,10,0,16,0,1,0,53.0,0.18867924528301888,0.18867924528301888,0.3018867924528302,5842
