race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time,tyre_num,used,tyre_age,pit_this_lap,next_pit,soft,medium,hard,total_laps,lap_pcts,tyre_age_pct,next_pit_pcts,distances
Miami,0,VER,821,Red Bull,Red Bull RBPTH001,3,88.991,3.0,0,0.0,1 +2,26,30.364,35.138,25.757,91.259,220.4,188.7,280.0,328.5,Mediumnew,0.0,2,0,0,0,26,0,1,0,57.0,0.0,0.0,0.45614035087719296,5412
Miami,1,VER,821,Red Bull,Red Bull RBPTH001,3,88.991,2.0,97.528,0.851,1 +2,26,30.364,35.138,25.757,91.259,220.4,188.7,280.0,328.5,Mediumnew,0.0,2,0,1,0,26,0,1,0,57.0,0.017543859649122806,0.017543859649122806,0.45614035087719296,5412
Miami,2,VER,821,Red Bull,Red Bull RBPTH001,3,88.991,2.0,94.542,1.004,1 +2,26,30.364,35.138,25.757,91.259,220.4,188.7,280.0,328.5,Mediumnew,0.0,2,0,2,0,26,0,1,0,57.0,0.03508771929824561,0.03508771929824561,0.45614035087719296,5412
Miami,3,VER,821,Red Bull,Red Bull RBPTH001,3,88.991,2.0,94.55,1.089,1 +2,26,30.364,35.138,25.757,91.259,220.4,188.7,280.0,328.5,Mediumnew,0.0,2,0,3,0,26,0,1,0,57.0,0.05263157894736842,0.05263157894736842,0.45614035087719296,5412
Miami,4,VER,821,Red Bull,Red Bull RBPTH001,3,88.991,2.0,94.287,1.053,1 +2,26,30.364,35.138,25.757,91.259,220.4,188.7,280.0,328.5,Mediumnew,0.0,2,0,4,0,26,0,1,0,57.0,0.07017543859649122,0.07017543859649122,0.45614035087719296,5412
Miami,5,VER,821,Red Bull,Red Bull RBPTH001,3,88.991,2.0,94.32,1.41,1 +2,26,30.364,35.138,25.757,91.259,220.4,188.7,280.0,328.5,Mediumnew,0.0,2,0,5,0,26,0,1,0,57.0,0.08771929824561403,0.08771929824561403,0.45614035087719296,5412
Miami,6,VER,821,Red Bull,Red Bull RBPTH001,3,88.991,2.0,94.227,1.17,1 +2,26,30.364,35.138,25.757,91.259,220.4,188.7,280.0,328.5,Mediumnew,0.0,2,0,6,0,26,0,1,0,57.0,0.10526315789473684,0.10526315789473684,0.45614035087719296,5412
Miami,7,VER,821,Red Bull,Red Bull RBPTH001,3,88.991,2.0,94.267,0.891,1 +2,26,30.364,35.138,25.757,91.259,220.4,188.7,280.0,328.5,Mediumnew,0.0,2,0,7,0,26,0,1,0,57.0,0.12280701754385964,0.12280701754385964,0.45614035087719296,5412
Miami,8,VER,821,Red Bull,Red Bull RBPTH001,3,88.991,2.0,94.318,0.1,1 +2,26,30.364,35.138,25.757,91.259,220.4,188.7,280.0,328.5,Mediumnew,0.0,2,0,8,0,26,0,1,0,57.0,0.14035087719298245,0.14035087719298245,0.45614035087719296,5412
Miami,9,VER,821,Red Bull,Red Bull RBPTH001,3,88.991,1.0,95.415,0.0,1 +2,26,30.364,35.138,25.757,91.259,220.4,188.7,280.0,328.5,Mediumnew,0.0,2,0,9,0,26,0,1,0,57.0,0.15789473684210525,0.15789473684210525,0.45614035087719296,5412
Miami,10,VER,821,Red Bull,Red Bull RBPTH001,3,88.991,1.0,94.107,0.0,1 +2,26,30.364,35.138,25.757,91.259,220.4,188.7,280.0,328.5,Mediumnew,0.0,2,0,10,0,26,0,1,0,57.0,0.17543859649122806,0.17543859649122806,0.45614035087719296,5412
Miami,11,VER,821,Red Bull,Red Bull RBPTH001,3,88.991,1.0,94.466,0.0,1 +2,26,30.364,35.138,25.757,91.259,220.4,188.7,280.0,328.5,Mediumnew,0.0,2,0,11,0,26,0,1,0,57.0,0.19298245614035087,0.19298245614035087,0.45614035087719296,5412
Miami,12,VER,821,Red Bull,Red Bull RBPTH001,3,88.991,1.0,93.991,0.0,1 +2,26,30.364,35.138,25.757,91.259,220.4,188.7,280.0,328.5,Mediumnew,0.0,2,0,12,0,26,0,1,0,57.0,0.21052631578947367,0.21052631578947367,0.45614035087719296,5412
Miami,13,VER,821,Red Bull,Red Bull RBPTH001,3,88.991,1.0,94.09,0.0,1 +2,26,30.364,35.138,25.757,91.259,220.4,188.7,280.0,328.5,Mediumnew,0.0,2,0,13,0,26,0,1,0,57.0,0.22807017543859648,0.22807017543859648,0.45614035087719296,5412
Miami,14,VER,821,Red Bull,Red Bull RBPTH001,3,88.991,1.0,93.866,0.0,1 +2,26,30.364,35.138,25.757,91.259,220.4,188.7,280.0,328.5,Mediumnew,0.0,2,0,14,0,26,0,1,0,57.0,0.24561403508771928,0.24561403508771928,0.45614035087719296,5412
Miami,15,VER,821,Red Bull,Red Bull RBPTH001,3,88.991,1.0,93.51,0.0,1 +2,26,30.364,35.138,25.757,91.259,220.4,188.7,280.0,328.5,Mediumnew,0.0,2,0,15,0,26,0,1,0,57.0,0.2631578947368421,0.2631578947368421,0.45614035087719296,5412
Miami,16,VER,821,Red Bull,Red Bull RBPTH001,3,88.991,1.0,94.225,0.0,1 +2,26,30.364,35.138,25.757,91.259,220.4,188.7,280.0,328.5,Mediumnew,0.0,2,0,16,0,26,0,1,0,57.0,0.2807017543859649,0.2807017543859649,0.45614035087719296,5412
Miami,17,VER,821,Red Bull,Red Bull RBPTH001,3,88.991,1.0,93.742,0.0,1 +2,26,30.364,35.138,25.757,91.259,220.4,188.7,280.0,328.5,Mediumnew,0.0,2,0,17,0,26,0,1,0,57.0,0.2982456140350877,0.2982456140350877,0.45614035087719296,5412
Miami,18,VER,821,Red Bull,Red Bull RBPTH001,3,88.991,1.0,93.946,0.0,1 +2,26,30.364,35.138,25.757,91.259,220.4,188.7,280.0,328.5,Mediumnew,0.0,2,0,18,0,26,0,1,0,57.0,0.3157894736842105,0.3157894736842105,0.45614035087719296,5412
