race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time,tyre_num,used,tyre_age,pit_this_lap,next_pit,soft,medium,hard,total_laps,lap_pcts,tyre_age_pct,next_pit_pcts,distances
Saudi Arabian,0,VER,821,Red Bull,Red Bull RBPTH001,4,88.461,4.0,0,0.0,1,25,33.738,29.113,28.395,91.246,290.0,328.4,308.5,334.1,Mediumnew,0.0,2,0,0,0,16,0,1,0,50.0,0.0,0.0,0.32,6174
Saudi Arabian,1,VER,821,Red Bull,Red Bull RBPTH001,4,88.461,3.0,98.082,2.091,1,25,33.738,29.113,28.395,91.246,290.0,328.4,308.5,334.1,Mediumnew,0.0,2,0,1,0,16,0,1,0,50.0,0.02,0.02,0.32,6174
Saudi Arabian,2,VER,821,Red Bull,Red Bull RBPTH001,4,88.461,3.0,95.275,2.644,1,25,33.738,29.113,28.395,91.246,290.0,328.4,308.5,334.1,Mediumnew,0.0,2,0,2,0,16,0,1,0,50.0,0.04,0.04,0.32,6174
Saudi Arabian,3,VER,821,Red Bull,Red Bull RBPTH001,4,88.461,3.0,94.89,2.938,1,25,33.738,29.113,28.395,91.246,290.0,328.4,308.5,334.1,Mediumnew,0.0,2,0,3,0,16,0,1,0,50.0,0.06,0.06,0.32,6174
Saudi Arabian,4,VER,821,Red Bull,Red Bull RBPTH001,4,88.461,3.0,94.7,3.198,1,25,33.738,29.113,28.395,91.246,290.0,328.4,308.5,334.1,Mediumnew,0.0,2,0,4,0,16,0,1,0,50.0,0.08,0.08,0.32,6174
Saudi Arabian,5,VER,821,Red Bull,Red Bull RBPTH001,4,88.461,3.0,94.809,3.511,1,25,33.738,29.113,28.395,91.246,290.0,328.4,308.5,334.1,Mediumnew,0.0,2,0,5,0,16,0,1,0,50.0,0.1,0.1,0.32,6174
Saudi Arabian,6,VER,821,Red Bull,Red Bull RBPTH001,4,88.461,3.0,94.84,3.87,1,25,33.738,29.113,28.395,91.246,290.0,328.4,308.5,334.1,Mediumnew,0.0,2,0,6,0,16,0,1,0,50.0,0.12,0.12,0.32,6174
Saudi Arabian,7,VER,821,Red Bull,Red Bull RBPTH001,4,88.461,3.0,94.634,3.683,1,25,33.738,29.113,28.395,91.246,290.0,328.4,308.5,334.1,Mediumnew,0.0,2,0,7,0,16,0,1,0,50.0,0.14,0.14,0.32,6174
Saudi Arabian,8,VER,821,Red Bull,Red Bull RBPTH001,4,88.461,3.0,94.821,3.885,1,25,33.738,29.113,28.395,91.246,290.0,328.4,308.5,334.1,Mediumnew,0.0,2,0,8,0,16,0,1,0,50.0,0.16,0.16,0.32,6174
Saudi Arabian,9,VER,821,Red Bull,Red Bull RBPTH001,4,88.461,3.0,94.832,3.892,1,25,33.738,29.113,28.395,91.246,290.0,328.4,308.5,334.1,Mediumnew,0.0,2,0,9,0,16,0,1,0,50.0,0.18,0.18,0.32,6174
Saudi Arabian,10,VER,821,Red Bull,Red Bull RBPTH001,4,88.461,3.0,95.252,4.308,1,25,33.738,29.113,28.395,91.246,290.0,328.4,308.5,334.1,Mediumnew,0.0,2,0,10,0,16,0,1,0,50.0,0.2,0.2,0.32,6174
Saudi Arabian,11,VER,821,Red Bull,Red Bull RBPTH001,4,88.461,3.0,94.959,4.722,1,25,33.738,29.113,28.395,91.246,290.0,328.4,308.5,334.1,Mediumnew,0.0,2,0,11,0,16,0,1,0,50.0,0.22,0.22,0.32,6174
Saudi Arabian,12,VER,821,Red Bull,Red Bull RBPTH001,4,88.461,3.0,95.191,5.242,1,25,33.738,29.113,28.395,91.246,290.0,328.4,308.5,334.1,Mediumnew,0.0,2,0,12,0,16,0,1,0,50.0,0.24,0.24,0.32,6174
Saudi Arabian,13,VER,821,Red Bull,Red Bull RBPTH001,4,88.461,3.0,94.982,5.01,1,25,33.738,29.113,28.395,91.246,290.0,328.4,308.5,334.1,Mediumnew,0.0,2,0,13,0,16,0,1,0,50.0,0.26,0.26,0.32,6174
Saudi Arabian,14,VER,821,Red Bull,Red Bull RBPTH001,4,88.461,3.0,95.093,4.787,1,25,33.738,29.113,28.395,91.246,290.0,328.4,308.5,334.1,Mediumnew,0.0,2,0,14,0,16,0,1,0,50.0,0.28,0.28,0.32,6174
Saudi Arabian,15,VER,821,Red Bull,Red Bull RBPTH001,4,88.461,3.0,95.37,2.672,1,25,33.738,29.113,28.395,91.246,290.0,328.4,308.5,334.1,Mediumnew,0.0,2,0,15,0,16,0,1,0,50.0,0.3,0.3,0.32,6174
Saudi Arabian,16,VER,821,Red Bull,Red Bull RBPTH001,4,88.461,2.0,104.577,3.409,1,25,33.738,29.113,28.395,91.246,290.0,328.4,308.5,334.1,Hardnew,0.0,3,0,0,1,0,0,0,1,50.0,0.32,0.0,0.0,6174
Saudi Arabian,17,VER,821,Red Bull,Red Bull RBPTH001,4,88.461,2.0,182.658,1.383,1,25,33.738,29.113,28.395,91.246,290.0,328.4,308.5,334.1,Hardnew,20.731,3,0,1,0,0,0,0,1,50.0,0.34,0.02,0.0,6174
Saudi Arabian,18,VER,821,Red Bull,Red Bull RBPTH001,4,88.461,2.0,159.567,0.88,1,25,33.738,29.113,28.395,91.246,290.0,328.4,308.5,334.1,Hardnew,0.0,3,0,2,0,0,0,0,1,50.0,0.36,0.04,0.0,6174
Saudi Arabian,19,VER,821,Red Bull,Red Bull RBPTH001,4,88.461,2.0,149.635,1.513,1,25,33.738,29.113,28.395,91.246,290.0,328.4,308.5,334.1,Hardnew,0.0,3,0,3,0,0,0,0,1,50.0,0.38,0.06,0.0,6174
Saudi Arabian,20,VER,821,Red Bull,Red Bull RBPTH001,4,88.461,2.0,163.487,0.374,1,25,33.738,29.113,28.395,91.246,290.0,328.4,308.5,334.1,Hardnew,0.0,3,0,4,0,0,0,0,1,50.0,0.4,0.08,0.0,6174
