race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time
AZERBAIJAN,Start,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,3,,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,1,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,3,1:52.920,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,2,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,3,1:48.954,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,3,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,3,1:48.690,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,4,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,3,1:48.248,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,5,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,3,1:48.312,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,6,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,3,1:48.566,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,7,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,3,1:48.775,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,8,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,3,1:48.907,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,9,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,2,1:58.315,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,10,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,2,2:16.036,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,11,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,2,1:48.416,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,12,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,2,1:48.502,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,13,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,2,1:48.507,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,14,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,2,1:48.692,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,15,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:49.087,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,16,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:49.274,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,17,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:49.131,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,18,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:53.486,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,19,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,2,2:04.139,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,20,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:46.898,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,21,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:47.366,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,22,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:48.153,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,23,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:47.927,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,24,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:47.886,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,25,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:47.631,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,26,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:47.713,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,27,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:47.801,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,28,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:47.643,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,29,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:47.493,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,30,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:47.459,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,31,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:47.700,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,32,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:47.522,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,33,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:59.285,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,34,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,2:43.850,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,35,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,2:07.685,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,36,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:46.523,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,37,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:46.367,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,38,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:46.929,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,39,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:46.918,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,40,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:46.959,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,41,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:47.257,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,42,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:46.549,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,43,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:46.480,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,44,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:46.494,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,45,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:46.846,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,46,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:47.090,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,47,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:46.863,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,48,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:47.018,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,49,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:46.855,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,50,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:46.050,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,51,VER,821,Red Bull,Red Bull RBPTH001,3,1:41.706,1,1:47.774,,1,25,37.846,42.964,25.108,1:45.918,211.8,223.4,344.6,325.5,,
AZERBAIJAN,Start,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,2,,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,1,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,1,1:50.927,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,2,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,1,1:48.303,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,3,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,1,1:48.245,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,4,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,1,1:48.517,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,5,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,1,1:48.439,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,6,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,1,1:48.651,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,7,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,1,1:48.779,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,8,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,1,1:48.824,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,9,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,1,1:54.999,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,10,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,1,2:19.943,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,11,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,1,1:48.793,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,12,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,1,1:48.627,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,13,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,1,1:48.835,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,14,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,1,1:49.685,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,15,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,2,1:51.718,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,16,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,2,1:54.994,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,17,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,3,2:07.524,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,18,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,3,1:47.522,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,19,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,3,1:47.558,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,20,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,2,1:47.471,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,21,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,2,1:48.067,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,22,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,2,1:48.191,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,23,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,2,1:49.041,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,24,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,2,1:47.870,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,25,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,2,1:48.035,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,26,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,2,1:48.189,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,27,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,2,1:48.056,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,28,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,2,1:47.764,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,29,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,2,1:47.799,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,30,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,2,1:48.493,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,31,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,2,1:48.188,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,32,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,2,1:48.151,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,33,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,2,2:05.661,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,34,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,2,2:44.653,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,35,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,2,2:03.314,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,36,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,2,1:46.046,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,37,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,2,1:48.168,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
AZERBAIJAN,38,PER,785,Red Bull,Red Bull RBPTH001,2,1:41.641,2,1:47.777,,2,19,37.872,42.848,25.326,1:46.046,217.6,227.3,322.4,322.2,,
