race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time
Abu Dhabi,Start,VER,821,Red Bull,Red Bull RBPTH001,1,1:23.824,1,,0,1,25,18.077,38.254,32.880,1:29.211,288.3,314.9,215.0,304.1,Mediumnew,
Abu Dhabi,1,VER,821,Red Bull,Red Bull RBPTH001,1,1:23.824,1,1:32.198,0.000,1,25,18.077,38.254,32.880,1:29.211,288.3,314.9,215.0,304.1,Mediumnew,
Abu Dhabi,2,VER,821,Red Bull,Red Bull RBPTH001,1,1:23.824,1,1:30.541,0.000,1,25,18.077,38.254,32.880,1:29.211,288.3,314.9,215.0,304.1,Mediumnew,
Abu Dhabi,3,VER,821,Red Bull,Red Bull RBPTH001,1,1:23.824,1,1:29.968,0.000,1,25,18.077,38.254,32.880,1:29.211,288.3,314.9,215.0,304.1,Mediumnew,
Abu Dhabi,4,VER,821,Red Bull,Red Bull RBPTH001,1,1:23.824,1,1:30.368,0.000,1,25,18.077,38.254,32.880,1:29.211,288.3,314.9,215.0,304.1,Mediumnew,
Abu Dhabi,5,VER,821,Red Bull,Red Bull RBPTH001,1,1:23.824,1,1:30.502,0.000,1,25,18.077,38.254,32.880,1:29.211,288.3,314.9,215.0,304.1,Mediumnew,
Abu Dhabi,6,VER,821,Red Bull,Red Bull RBPTH001,1,1:23.824,1,1:30.567,0.000,1,25,18.077,38.254,32.880,1:29.211,288.3,314.9,215.0,304.1,Mediumnew,
Abu Dhabi,7,VER,821,Red Bull,Red Bull RBPTH001,1,1:23.824,1,1:30.661,0.000,1,25,18.077,38.254,32.880,1:29.211,288.3,314.9,215.0,304.1,Mediumnew,
Abu Dhabi,8,VER,821,Red Bull,Red Bull RBPTH001,1,1:23.824,1,1:30.691,0.000,1,25,18.077,38.254,32.880,1:29.211,288.3,314.9,215.0,304.1,Mediumnew,
Abu Dhabi,9,VER,821,Red Bull,Red Bull RBPTH001,1,1:23.824,1,1:30.601,0.000,1,25,18.077,38.254,32.880,1:29.211,288.3,314.9,215.0,304.1,Mediumnew,
Abu Dhabi,10,VER,821,Red Bull,Red Bull RBPTH001,1,1:23.824,1,1:30.621,0.000,1,25,18.077,38.254,32.880,1:29.211,288.3,314.9,215.0,304.1,Mediumnew,
Abu Dhabi,11,VER,821,Red Bull,Red Bull RBPTH001,1,1:23.824,1,1:30.798,0.000,1,25,18.077,38.254,32.880,1:29.211,288.3,314.9,215.0,304.1,Mediumnew,
Abu Dhabi,12,VER,821,Red Bull,Red Bull RBPTH001,1,1:23.824,1,1:30.921,0.000,1,25,18.077,38.254,32.880,1:29.211,288.3,314.9,215.0,304.1,Mediumnew,
Abu Dhabi,13,VER,821,Red Bull,Red Bull RBPTH001,1,1:23.824,1,1:30.747,0.000,1,25,18.077,38.254,32.880,1:29.211,288.3,314.9,215.0,304.1,Mediumnew,
Abu Dhabi,14,VER,821,Red Bull,Red Bull RBPTH001,1,1:23.824,1,1:30.966,0.000,1,25,18.077,38.254,32.880,1:29.211,288.3,314.9,215.0,304.1,Mediumnew,
Abu Dhabi,15,VER,821,Red Bull,Red Bull RBPTH001,1,1:23.824,1,1:31.023,0.000,1,25,18.077,38.254,32.880,1:29.211,288.3,314.9,215.0,304.1,Mediumnew,
Abu Dhabi,16,VER,821,Red Bull,Red Bull RBPTH001,1,1:23.824,1,1:31.245,0.000,1,25,18.077,38.254,32.880,1:29.211,288.3,314.9,215.0,304.1,Mediumnew,
