race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time
Australian,Start,LEC,833,Ferrari,Ferrari 066/7,1,1:17.868,1,,0,1,26,28.044,17.878,34.338,1:20.260,280.0,316.2,302.2,309.1,Mediumnew,
Australian,1,LEC,833,Ferrari,Ferrari 066/7,1,1:17.868,1,1:29.695,0.000,1,26,28.044,17.878,34.338,1:20.260,280.0,316.2,302.2,309.1,Mediumnew,
Australian,2,LEC,833,Ferrari,Ferrari 066/7,1,1:17.868,1,1:24.746,0.000,1,26,28.044,17.878,34.338,1:20.260,280.0,316.2,302.2,309.1,Mediumnew,
Australian,3,LEC,833,Ferrari,Ferrari 066/7,1,1:17.868,1,1:43.345,0.000,1,26,28.044,17.878,34.338,1:20.260,280.0,316.2,302.2,309.1,Mediumnew,
Australian,4,LEC,833,Ferrari,Ferrari 066/7,1,1:17.868,1,2:15.102,0.000,1,26,28.044,17.878,34.338,1:20.260,280.0,316.2,302.2,309.1,Mediumnew,
Australian,5,LEC,833,Ferrari,Ferrari 066/7,1,1:17.868,1,2:14.936,0.000,1,26,28.044,17.878,34.338,1:20.260,280.0,316.2,302.2,309.1,Mediumnew,
Australian,6,LEC,833,Ferrari,Ferrari 066/7,1,1:17.868,1,2:24.953,0.000,1,26,28.044,17.878,34.338,1:20.260,280.0,316.2,302.2,309.1,Mediumnew,
Australian,7,LEC,833,Ferrari,Ferrari 066/7,1,1:17.868,1,1:23.957,0.000,1,26,28.044,17.878,34.338,1:20.260,280.0,316.2,302.2,309.1,Mediumnew,
Australian,8,LEC,833,Ferrari,Ferrari 066/7,1,1:17.868,1,1:23.589,0.000,1,26,28.044,17.878,34.338,1:20.260,280.0,316.2,302.2,309.1,Mediumnew,
Australian,9,LEC,833,Ferrari,Ferrari 066/7,1,1:17.868,1,1:23.390,0.000,1,26,28.044,17.878,34.338,1:20.260,280.0,316.2,302.2,309.1,Mediumnew,
Australian,10,LEC,833,Ferrari,Ferrari 066/7,1,1:17.868,1,1:23.360,0.000,1,26,28.044,17.878,34.338,1:20.260,280.0,316.2,302.2,309.1,Mediumnew,
Australian,11,LEC,833,Ferrari,Ferrari 066/7,1,1:17.868,1,1:23.356,0.000,1,26,28.044,17.878,34.338,1:20.260,280.0,316.2,302.2,309.1,Mediumnew,
Australian,12,LEC,833,Ferrari,Ferrari 066/7,1,1:17.868,1,1:23.325,0.000,1,26,28.044,17.878,34.338,1:20.260,280.0,316.2,302.2,309.1,Mediumnew,
Australian,13,LEC,833,Ferrari,Ferrari 066/7,1,1:17.868,1,1:23.585,0.000,1,26,28.044,17.878,34.338,1:20.260,280.0,316.2,302.2,309.1,Mediumnew,
Australian,14,LEC,833,Ferrari,Ferrari 066/7,1,1:17.868,1,1:23.905,0.000,1,26,28.044,17.878,34.338,1:20.260,280.0,316.2,302.2,309.1,Mediumnew,
Australian,15,LEC,833,Ferrari,Ferrari 066/7,1,1:17.868,1,1:23.575,0.000,1,26,28.044,17.878,34.338,1:20.260,280.0,316.2,302.2,309.1,Mediumnew,
Australian,16,LEC,833,Ferrari,Ferrari 066/7,1,1:17.868,1,1:23.715,0.000,1,26,28.044,17.878,34.338,1:20.260,280.0,316.2,302.2,309.1,Mediumnew,
Australian,17,LEC,833,Ferrari,Ferrari 066/7,1,1:17.868,1,1:24.044,0.000,1,26,28.044,17.878,34.338,1:20.260,280.0,316.2,302.2,309.1,Mediumnew,
Australian,18,LEC,833,Ferrari,Ferrari 066/7,1,1:17.868,1,1:23.883,0.000,1,26,28.044,17.878,34.338,1:20.260,280.0,316.2,302.2,309.1,Mediumnew,
Australian,19,LEC,833,Ferrari,Ferrari 066/7,1,1:17.868,1,1:24.061,0.000,1,26,28.044,17.878,34.338,1:20.260,280.0,316.2,302.2,309.1,Mediumnew,
Australian,20,LEC,833,Ferrari,Ferrari 066/7,1,1:17.868,1,1:24.098,0.000,1,26,28.044,17.878,34.338,1:20.260,280.0,316.2,302.2,309.1,Mediumnew,
