race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time
Austrian,Start,LEC,833,Ferrari,Ferrari 066/7,2,,2,,0,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,1,LEC,833,Ferrari,Ferrari 066/7,2,,2,1:13.649,0.927,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,2,LEC,833,Ferrari,Ferrari 066/7,2,,2,1:10.609,1.163,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,3,LEC,833,Ferrari,Ferrari 066/7,2,,2,1:09.928,0.926,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,4,LEC,833,Ferrari,Ferrari 066/7,2,,2,1:10.138,0.936,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,5,LEC,833,Ferrari,Ferrari 066/7,2,,2,1:10.268,0.944,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,6,LEC,833,Ferrari,Ferrari 066/7,2,,2,1:10.329,0.916,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,7,LEC,833,Ferrari,Ferrari 066/7,2,,2,1:10.321,0.678,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,8,LEC,833,Ferrari,Ferrari 066/7,2,,2,1:10.721,0.636,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,9,LEC,833,Ferrari,Ferrari 066/7,2,,2,1:10.883,0.672,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,10,LEC,833,Ferrari,Ferrari 066/7,2,,2,1:11.403,0.679,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,11,LEC,833,Ferrari,Ferrari 066/7,2,,2,1:10.934,0.695,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,12,LEC,833,Ferrari,Ferrari 066/7,2,,1,1:10.461,0.000,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,13,LEC,833,Ferrari,Ferrari 066/7,2,,1,1:10.601,0.000,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,14,LEC,833,Ferrari,Ferrari 066/7,2,,1,1:10.877,0.000,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,15,LEC,833,Ferrari,Ferrari 066/7,2,,1,1:10.656,0.000,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,16,LEC,833,Ferrari,Ferrari 066/7,2,,1,1:10.456,0.000,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,17,LEC,833,Ferrari,Ferrari 066/7,2,,1,1:10.514,0.000,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,18,LEC,833,Ferrari,Ferrari 066/7,2,,1,1:10.784,0.000,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,19,LEC,833,Ferrari,Ferrari 066/7,2,,1,1:10.627,0.000,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,20,LEC,833,Ferrari,Ferrari 066/7,2,,1,1:10.463,0.000,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,21,LEC,833,Ferrari,Ferrari 066/7,2,,1,1:10.790,0.000,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,22,LEC,833,Ferrari,Ferrari 066/7,2,,1,1:10.693,0.000,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,23,LEC,833,Ferrari,Ferrari 066/7,2,,1,1:10.727,0.000,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,24,LEC,833,Ferrari,Ferrari 066/7,2,,1,1:11.455,0.000,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,25,LEC,833,Ferrari,Ferrari 066/7,2,,1,1:11.343,0.000,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Mediumnew,
Austrian,26,LEC,833,Ferrari,Ferrari 066/7,2,,1,1:14.801,0.000,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Hardnew,21.532
Austrian,27,LEC,833,Ferrari,Ferrari 066/7,2,,3,1:26.973,11.712,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Hardnew,
Austrian,28,LEC,833,Ferrari,Ferrari 066/7,2,,2,1:09.479,5.107,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Hardnew,
Austrian,29,LEC,833,Ferrari,Ferrari 066/7,2,,2,1:08.984,3.606,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Hardnew,
Austrian,30,LEC,833,Ferrari,Ferrari 066/7,2,,2,1:09.553,2.550,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Hardnew,
Austrian,31,LEC,833,Ferrari,Ferrari 066/7,2,,2,1:09.737,1.390,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Hardnew,
Austrian,32,LEC,833,Ferrari,Ferrari 066/7,2,,2,1:10.106,0.423,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Hardnew,
Austrian,33,LEC,833,Ferrari,Ferrari 066/7,2,,1,1:09.665,0.000,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Hardnew,
Austrian,34,LEC,833,Ferrari,Ferrari 066/7,2,,1,1:10.045,0.000,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Hardnew,
Austrian,35,LEC,833,Ferrari,Ferrari 066/7,2,,1,1:09.678,0.000,1 +1,25,17.181,30.093,20.268,1:07.542,318.3,242.8,283.3,313.7,Hardnew,
