race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time
Bahrain,Start,LEC,833,Ferrari,Ferrari 066/7,1,1:30.558,1,,0,1,26,30.439,40.732,23.399,1:34.570,235.9,265.4,279.8,302.6,Softnew,
Bahrain,1,LEC,833,Ferrari,Ferrari 066/7,1,1:30.558,1,1:39.070,0.000,1,26,30.439,40.732,23.399,1:34.570,235.9,265.4,279.8,302.6,Softnew,
Bahrain,2,LEC,833,Ferrari,Ferrari 066/7,1,1:30.558,1,1:37.853,0.000,1,26,30.439,40.732,23.399,1:34.570,235.9,265.4,279.8,302.6,Softnew,
Bahrain,3,LEC,833,Ferrari,Ferrari 066/7,1,1:30.558,1,1:38.272,0.000,1,26,30.439,40.732,23.399,1:34.570,235.9,265.4,279.8,302.6,Softnew,
Bahrain,4,LEC,833,Ferrari,Ferrari 066/7,1,1:30.558,1,1:38.414,0.000,1,26,30.439,40.732,23.399,1:34.570,235.9,265.4,279.8,302.6,Softnew,
Bahrain,5,LEC,833,Ferrari,Ferrari 066/7,1,1:30.558,1,1:38.471,0.000,1,26,30.439,40.732,23.399,1:34.570,235.9,265.4,279.8,302.6,Softnew,
Bahrain,6,LEC,833,Ferrari,Ferrari 066/7,1,1:30.558,1,1:38.712,0.000,1,26,30.439,40.732,23.399,1:34.570,235.9,265.4,279.8,302.6,Softnew,
Bahrain,7,LEC,833,Ferrari,Ferrari 066/7,1,1:30.558,1,1:38.835,0.000,1,26,30.439,40.732,23.399,1:34.570,235.9,265.4,279.8,302.6,Softnew,
Bahrain,8,LEC,833,Ferrari,Ferrari 066/7,1,1:30.558,1,1:38.951,0.000,1,26,30.439,40.732,23.399,1:34.570,235.9,265.4,279.8,302.6,Softnew,
Bahrain,9,LEC,833,Ferrari,Ferrari 066/7,1,1:30.558,1,1:38.807,0.000,1,26,30.439,40.732,23.399,1:34.570,235.9,265.4,279.8,302.6,Softnew,
Bahrain,10,LEC,833,Ferrari,Ferrari 066/7,1,1:30.558,1,1:39.123,0.000,1,26,30.439,40.732,23.399,1:34.570,235.9,265.4,279.8,302.6,Softnew,
Bahrain,11,LEC,833,Ferrari,Ferrari 066/7,1,1:30.558,1,1:39.306,0.000,1,26,30.439,40.732,23.399,1:34.570,235.9,265.4,279.8,302.6,Softnew,
Bahrain,12,LEC,833,Ferrari,Ferrari 066/7,1,1:30.558,1,1:39.256,0.000,1,26,30.439,40.732,23.399,1:34.570,235.9,265.4,279.8,302.6,Softnew,
Bahrain,13,LEC,833,Ferrari,Ferrari 066/7,1,1:30.558,1,1:39.279,0.000,1,26,30.439,40.732,23.399,1:34.570,235.9,265.4,279.8,302.6,Softnew,
Bahrain,14,LEC,833,Ferrari,Ferrari 066/7,1,1:30.558,1,1:39.629,0.000,1,26,30.439,40.732,23.399,1:34.570,235.9,265.4,279.8,302.6,Softnew,
Bahrain,15,LEC,833,Ferrari,Ferrari 066/7,1,1:30.558,1,1:42.041,0.000,1,26,30.439,40.732,23.399,1:34.570,235.9,265.4,279.8,302.6,Softused,25.012
Bahrain,16,LEC,833,Ferrari,Ferrari 066/7,1,1:30.558,1,1:57.660,0.000,1,26,30.439,40.732,23.399,1:34.570,235.9,265.4,279.8,302.6,Softused,
Bahrain,17,LEC,833,Ferrari,Ferrari 066/7,1,1:30.558,1,1:37.520,0.000,1,26,30.439,40.732,23.399,1:34.570,235.9,265.4,279.8,302.6,Softused,
Bahrain,18,LEC,833,Ferrari,Ferrari 066/7,1,1:30.558,1,1:37.634,0.000,1,26,30.439,40.732,23.399,1:34.570,235.9,265.4,279.8,302.6,Softused,
Bahrain,19,LEC,833,Ferrari,Ferrari 066/7,1,1:30.558,1,1:37.408,0.000,1,26,30.439,40.732,23.399,1:34.570,235.9,265.4,279.8,302.6,Softused,
