race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time
Belgian,Start,VER,821,Red Bull,Red Bull RBPTH001,14,1:43.665,14,,0,1 +13,26,31.597,47.810,29.864,1:49.271,342.2,199.7,217.2,313.8,Softnew,
Belgian,1,VER,821,Red Bull,Red Bull RBPTH001,14,1:43.665,8,2:03.282,9.339,1 +13,26,31.597,47.810,29.864,1:49.271,342.2,199.7,217.2,313.8,Softnew,
Belgian,2,VER,821,Red Bull,Red Bull RBPTH001,14,1:43.665,8,2:19.517,17.788,1 +13,26,31.597,47.810,29.864,1:49.271,342.2,199.7,217.2,313.8,Softnew,
Belgian,3,VER,821,Red Bull,Red Bull RBPTH001,14,1:43.665,8,3:04.045,14.026,1 +13,26,31.597,47.810,29.864,1:49.271,342.2,199.7,217.2,313.8,Softnew,
Belgian,4,VER,821,Red Bull,Red Bull RBPTH001,14,1:43.665,8,2:56.460,2.934,1 +13,26,31.597,47.810,29.864,1:49.271,342.2,199.7,217.2,313.8,Softnew,
Belgian,5,VER,821,Red Bull,Red Bull RBPTH001,14,1:43.665,6,1:53.951,4.687,1 +13,26,31.597,47.810,29.864,1:49.271,342.2,199.7,217.2,313.8,Softnew,
Belgian,6,VER,821,Red Bull,Red Bull RBPTH001,14,1:43.665,5,1:53.748,6.113,1 +13,26,31.597,47.810,29.864,1:49.271,342.2,199.7,217.2,313.8,Softnew,
Belgian,7,VER,821,Red Bull,Red Bull RBPTH001,14,1:43.665,4,1:51.954,5.308,1 +13,26,31.597,47.810,29.864,1:49.271,342.2,199.7,217.2,313.8,Softnew,
Belgian,8,VER,821,Red Bull,Red Bull RBPTH001,14,1:43.665,3,1:52.641,3.869,1 +13,26,31.597,47.810,29.864,1:49.271,342.2,199.7,217.2,313.8,Softnew,
Belgian,9,VER,821,Red Bull,Red Bull RBPTH001,14,1:43.665,3,1:53.532,2.776,1 +13,26,31.597,47.810,29.864,1:49.271,342.2,199.7,217.2,313.8,Softnew,
Belgian,10,VER,821,Red Bull,Red Bull RBPTH001,14,1:43.665,3,1:53.969,2.120,1 +13,26,31.597,47.810,29.864,1:49.271,342.2,199.7,217.2,313.8,Softnew,
Belgian,11,VER,821,Red Bull,Red Bull RBPTH001,14,1:43.665,2,1:54.634,0.425,1 +13,26,31.597,47.810,29.864,1:49.271,342.2,199.7,217.2,313.8,Softnew,
Belgian,12,VER,821,Red Bull,Red Bull RBPTH001,14,1:43.665,1,1:53.158,0.000,1 +13,26,31.597,47.810,29.864,1:49.271,342.2,199.7,217.2,313.8,Softnew,
Belgian,13,VER,821,Red Bull,Red Bull RBPTH001,14,1:43.665,1,1:53.728,0.000,1 +13,26,31.597,47.810,29.864,1:49.271,342.2,199.7,217.2,313.8,Softnew,
Belgian,14,VER,821,Red Bull,Red Bull RBPTH001,14,1:43.665,1,1:53.898,0.000,1 +13,26,31.597,47.810,29.864,1:49.271,342.2,199.7,217.2,313.8,Softnew,
