race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time
Brazilian,Start,RUS,840,Mercedes,Mercedes M13 E,1,,1,,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,1,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:28.575,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,2,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:56.346,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,3,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:59.966,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,4,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:59.234,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,5,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:54.429,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,6,RUS,840,Mercedes,Mercedes M13 E,1,,1,2:05.656,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,7,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:16.122,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,8,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:16.096,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,9,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:16.022,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,10,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:16.167,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,11,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:16.184,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,12,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:16.465,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,13,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:16.488,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,14,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:16.412,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,15,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:16.228,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,16,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:16.275,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,17,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:16.559,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,18,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:16.340,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,19,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:16.370,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,20,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:16.445,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,21,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:16.704,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,22,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:16.671,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,23,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:16.796,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,24,RUS,840,Mercedes,Mercedes M13 E,1,,1,1:20.102,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,25,RUS,840,Mercedes,Mercedes M13 E,1,,2,1:33.573,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,26,RUS,840,Mercedes,Mercedes M13 E,1,,2,1:15.946,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,27,RUS,840,Mercedes,Mercedes M13 E,1,,2,1:16.093,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,28,RUS,840,Mercedes,Mercedes M13 E,1,,2,1:16.103,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
Brazilian,29,RUS,840,Mercedes,Mercedes M13 E,1,,2,1:15.958,,1,26,18.998,37.565,17.010,1:13.573,305.3,257.2,319.9,319.6,,
