race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time
British,Start,SAI,825,Ferrari,Ferrari 066/7,1,1:40.983,1,,,1,25,29.125,36.623,24.955,1:30.703,300.8,260.3,249.5,315.0,,
British,1,SAI,825,Ferrari,Ferrari 066/7,1,1:40.983,2,2:23.979,,1,25,29.125,36.623,24.955,1:30.703,300.8,260.3,249.5,315.0,,
British,2,SAI,825,Ferrari,Ferrari 066/7,1,1:40.983,1,53:10.972,,1,25,29.125,36.623,24.955,1:30.703,300.8,260.3,249.5,315.0,,
British,3,SAI,825,Ferrari,Ferrari 066/7,1,1:40.983,1,2:31.928,,1,25,29.125,36.623,24.955,1:30.703,300.8,260.3,249.5,315.0,,
British,4,SAI,825,Ferrari,Ferrari 066/7,1,1:40.983,1,1:33.437,,1,25,29.125,36.623,24.955,1:30.703,300.8,260.3,249.5,315.0,,
British,5,SAI,825,Ferrari,Ferrari 066/7,1,1:40.983,1,1:33.623,,1,25,29.125,36.623,24.955,1:30.703,300.8,260.3,249.5,315.0,,
British,6,SAI,825,Ferrari,Ferrari 066/7,1,1:40.983,1,1:33.596,,1,25,29.125,36.623,24.955,1:30.703,300.8,260.3,249.5,315.0,,
British,7,SAI,825,Ferrari,Ferrari 066/7,1,1:40.983,1,1:33.918,,1,25,29.125,36.623,24.955,1:30.703,300.8,260.3,249.5,315.0,,
British,8,SAI,825,Ferrari,Ferrari 066/7,1,1:40.983,1,1:33.732,,1,25,29.125,36.623,24.955,1:30.703,300.8,260.3,249.5,315.0,,
British,9,SAI,825,Ferrari,Ferrari 066/7,1,1:40.983,1,1:33.575,,1,25,29.125,36.623,24.955,1:30.703,300.8,260.3,249.5,315.0,,
British,10,SAI,825,Ferrari,Ferrari 066/7,1,1:40.983,2,1:35.415,,1,25,29.125,36.623,24.955,1:30.703,300.8,260.3,249.5,315.0,,
British,11,SAI,825,Ferrari,Ferrari 066/7,1,1:40.983,2,1:33.862,,1,25,29.125,36.623,24.955,1:30.703,300.8,260.3,249.5,315.0,,
British,12,SAI,825,Ferrari,Ferrari 066/7,1,1:40.983,2,1:33.491,,1,25,29.125,36.623,24.955,1:30.703,300.8,260.3,249.5,315.0,,
British,13,SAI,825,Ferrari,Ferrari 066/7,1,1:40.983,1,1:33.310,,1,25,29.125,36.623,24.955,1:30.703,300.8,260.3,249.5,315.0,,
British,14,SAI,825,Ferrari,Ferrari 066/7,1,1:40.983,1,1:33.550,,1,25,29.125,36.623,24.955,1:30.703,300.8,260.3,249.5,315.0,,
British,15,SAI,825,Ferrari,Ferrari 066/7,1,1:40.983,1,1:33.445,,1,25,29.125,36.623,24.955,1:30.703,300.8,260.3,249.5,315.0,,
British,16,SAI,825,Ferrari,Ferrari 066/7,1,1:40.983,1,1:33.550,,1,25,29.125,36.623,24.955,1:30.703,300.8,260.3,249.5,315.0,,
