race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time
Canadian,Start,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,1,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:23.396,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,2,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:18.960,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,3,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:18.818,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,4,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:18.393,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,5,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:18.293,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,6,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:18.275,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,7,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:17.828,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,8,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:17.757,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,9,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,3,1:52.842,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,10,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,3,1:44.647,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,11,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,3,1:17.808,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,12,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,3,1:17.370,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,13,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,3,1:17.518,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,14,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,3,1:17.791,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,15,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,2,1:18.076,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,16,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,2,1:17.457,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,17,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,2,1:17.356,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,18,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,2,1:17.450,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,19,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,2,1:17.458,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,20,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:46.720,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,21,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:19.307,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,22,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:17.592,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,23,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:17.634,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,24,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:17.581,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,25,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:17.676,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,26,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:17.418,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,27,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:17.528,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,28,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:17.430,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,29,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:17.426,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,30,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:17.541,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,31,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:17.458,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,32,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:17.866,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,33,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:17.724,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,34,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:17.595,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,35,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:17.634,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,36,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:17.817,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,37,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:17.722,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,38,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:17.695,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,39,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:17.707,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,40,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:17.809,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,41,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:18.371,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,42,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:18.191,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,43,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,2,1:33.478,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,44,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,2,1:19.629,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,45,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,2,1:16.959,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,46,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,2,1:16.830,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,47,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,2,1:17.087,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,48,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,2,1:16.759,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,49,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:25.267,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,50,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:58.968,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,51,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,2:00.304,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,52,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,2:07.872,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,53,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,2:04.402,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,54,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,2:20.984,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
Canadian,55,VER,821,Red Bull,Red Bull RBPTH001,1,1:21.299,1,1:16.971,,1,25,21.061,24.087,30.373,1:15.521,256.8,281.2,292.8,332.0,,
