race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time
Emilia Romagna,Start,VER,821,Red Bull,Red Bull RBPTH001,1,,1,,0,1,26,25.088,27.017,26.341,1:18.446,222.3,258.6,287.0,295.4,Intermediatenew,
Emilia Romagna,1,VER,821,Red Bull,Red Bull RBPTH001,1,,1,1:51.307,0.000,1,26,25.088,27.017,26.341,1:18.446,222.3,258.6,287.0,295.4,Intermediatenew,
Emilia Romagna,2,VER,821,Red Bull,Red Bull RBPTH001,1,,1,2:25.995,0.000,1,26,25.088,27.017,26.341,1:18.446,222.3,258.6,287.0,295.4,Intermediatenew,
Emilia Romagna,3,VER,821,Red Bull,Red Bull RBPTH001,1,,1,2:16.500,0.000,1,26,25.088,27.017,26.341,1:18.446,222.3,258.6,287.0,295.4,Intermediatenew,
Emilia Romagna,4,VER,821,Red Bull,Red Bull RBPTH001,1,,1,2:27.427,0.000,1,26,25.088,27.017,26.341,1:18.446,222.3,258.6,287.0,295.4,Intermediatenew,
Emilia Romagna,5,VER,821,Red Bull,Red Bull RBPTH001,1,,1,1:31.450,0.000,1,26,25.088,27.017,26.341,1:18.446,222.3,258.6,287.0,295.4,Intermediatenew,
Emilia Romagna,6,VER,821,Red Bull,Red Bull RBPTH001,1,,1,1:30.444,0.000,1,26,25.088,27.017,26.341,1:18.446,222.3,258.6,287.0,295.4,Intermediatenew,
Emilia Romagna,7,VER,821,Red Bull,Red Bull RBPTH001,1,,1,1:30.119,0.000,1,26,25.088,27.017,26.341,1:18.446,222.3,258.6,287.0,295.4,Intermediatenew,
Emilia Romagna,8,VER,821,Red Bull,Red Bull RBPTH001,1,,1,1:30.177,0.000,1,26,25.088,27.017,26.341,1:18.446,222.3,258.6,287.0,295.4,Intermediatenew,
Emilia Romagna,9,VER,821,Red Bull,Red Bull RBPTH001,1,,1,1:29.917,0.000,1,26,25.088,27.017,26.341,1:18.446,222.3,258.6,287.0,295.4,Intermediatenew,
Emilia Romagna,10,VER,821,Red Bull,Red Bull RBPTH001,1,,1,1:30.351,0.000,1,26,25.088,27.017,26.341,1:18.446,222.3,258.6,287.0,295.4,Intermediatenew,
Emilia Romagna,11,VER,821,Red Bull,Red Bull RBPTH001,1,,1,1:30.339,0.000,1,26,25.088,27.017,26.341,1:18.446,222.3,258.6,287.0,295.4,Intermediatenew,
Emilia Romagna,12,VER,821,Red Bull,Red Bull RBPTH001,1,,1,1:30.969,0.000,1,26,25.088,27.017,26.341,1:18.446,222.3,258.6,287.0,295.4,Intermediatenew,
Emilia Romagna,13,VER,821,Red Bull,Red Bull RBPTH001,1,,1,1:31.325,0.000,1,26,25.088,27.017,26.341,1:18.446,222.3,258.6,287.0,295.4,Intermediatenew,
Emilia Romagna,14,VER,821,Red Bull,Red Bull RBPTH001,1,,1,1:31.889,0.000,1,26,25.088,27.017,26.341,1:18.446,222.3,258.6,287.0,295.4,Intermediatenew,
Emilia Romagna,15,VER,821,Red Bull,Red Bull RBPTH001,1,,1,1:32.039,0.000,1,26,25.088,27.017,26.341,1:18.446,222.3,258.6,287.0,295.4,Intermediatenew,
Emilia Romagna,16,VER,821,Red Bull,Red Bull RBPTH001,1,,1,1:32.072,0.000,1,26,25.088,27.017,26.341,1:18.446,222.3,258.6,287.0,295.4,Intermediatenew,
Emilia Romagna,17,VER,821,Red Bull,Red Bull RBPTH001,1,,1,1:32.079,0.000,1,26,25.088,27.017,26.341,1:18.446,222.3,258.6,287.0,295.4,Intermediatenew,
