race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time
French,Start,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,2,,0,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Mediumnew,
French,1,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,2,1:44.415,1.064,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Mediumnew,
French,2,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,2,1:38.330,1.267,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Mediumnew,
French,3,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,2,1:38.117,0.685,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Mediumnew,
French,4,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,2,1:38.390,0.987,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Mediumnew,
French,5,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,2,1:38.720,0.610,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Mediumnew,
French,6,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,2,1:38.634,0.634,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Mediumnew,
French,7,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,2,1:39.219,0.565,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Mediumnew,
French,8,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,2,1:39.159,0.760,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Mediumnew,
French,9,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,2,1:39.130,0.749,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Mediumnew,
French,10,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,2,1:39.043,0.937,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Mediumnew,
French,11,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,2,1:39.285,0.878,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Mediumnew,
French,12,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,2,1:39.109,0.941,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Mediumnew,
French,13,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,2,1:39.026,1.309,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Mediumnew,
French,14,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,2,1:39.276,1.573,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Mediumnew,
French,15,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,2,1:39.102,1.831,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Mediumnew,
French,16,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,5,1:57.773,20.749,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,35.266
French,17,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,6,1:45.628,27.414,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,18,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,2,1:52.410,4.821,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,19,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,2:37.350,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,20,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,2:31.527,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,21,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:37.701,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,22,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:37.774,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,23,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:38.273,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,24,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:38.009,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,25,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:38.344,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,26,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:37.950,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,27,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:37.967,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,28,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:37.696,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,29,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:37.695,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,30,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:37.491,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,31,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:37.786,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,32,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:37.804,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,33,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:37.900,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,34,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:37.911,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,35,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:38.301,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,36,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:38.053,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,37,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:38.270,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,38,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:37.683,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,39,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:38.027,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,40,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:37.838,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,41,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:37.736,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,42,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:37.836,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,43,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:37.642,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,44,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:38.019,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,45,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:37.856,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,46,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:38.242,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,47,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:38.073,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,48,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:37.945,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
French,49,VER,821,Red Bull,Red Bull RBPTH001,2,1:31.176,1,1:38.732,0.000,1 +1,25,24.659,29.578,43.057,1:37.294,111.1,282.0,299.8,337.0,Hardnew,
