race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time
Hungarian,Start,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,10,,0,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Softused,
Hungarian,1,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,8,1:36.512,8.121,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Softused,
Hungarian,2,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,8,1:54.460,10.453,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Softused,
Hungarian,3,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,8,1:28.191,8.051,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Softused,
Hungarian,4,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,8,1:25.058,9.387,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Softused,
Hungarian,5,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,7,1:24.121,9.554,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Softused,
Hungarian,6,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,7,1:24.804,10.359,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Softused,
Hungarian,7,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,6,1:24.079,10.369,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Softused,
Hungarian,8,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,6,1:24.156,10.452,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Softused,
Hungarian,9,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,6,1:24.097,10.835,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Softused,
Hungarian,10,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,6,1:24.566,10.887,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Softused,
Hungarian,11,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,6,1:25.356,11.933,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Softused,
Hungarian,12,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,5,1:24.605,12.339,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Softused,
Hungarian,13,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,5,1:24.529,12.333,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Softused,
Hungarian,14,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,5,1:24.680,12.000,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Softused,
Hungarian,15,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,5,1:24.647,11.774,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Softused,
Hungarian,16,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,5,1:27.314,12.793,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,21.351
Hungarian,17,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,8,1:40.172,27.968,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,
Hungarian,18,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,8,1:23.082,27.258,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,
Hungarian,19,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,7,1:23.471,26.818,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,
Hungarian,20,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,5,1:23.954,26.510,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,
Hungarian,21,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,4,1:23.105,23.134,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,
Hungarian,22,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,4,1:23.184,7.072,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,
Hungarian,23,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,4,1:23.489,6.995,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,
Hungarian,24,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,4,1:23.775,6.869,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,
Hungarian,25,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,4,1:23.543,6.758,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,
Hungarian,26,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,4,1:23.720,6.715,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,
Hungarian,27,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,4,1:23.565,6.402,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,
Hungarian,28,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,4,1:23.691,5.527,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,
Hungarian,29,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,4,1:24.173,5.434,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,
Hungarian,30,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,4,1:23.840,5.078,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,
Hungarian,31,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,4,1:23.728,5.290,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,
Hungarian,32,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,4,1:24.331,5.343,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,
Hungarian,33,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,4,1:23.709,5.687,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,
Hungarian,34,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,4,1:23.507,5.806,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,
Hungarian,35,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,4,1:23.591,5.899,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,
Hungarian,36,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,4,1:23.777,6.532,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,
Hungarian,37,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,4,1:24.112,7.191,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,
Hungarian,38,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,4,1:26.363,9.749,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,21.228
Hungarian,39,VER,821,Red Bull,Red Bull RBPTH001,10,1:18.823,6,1:39.455,22.880,1 +9,25,29.234,29.088,22.914,1:21.236,281.1,242.2,251.3,302.1,Mediumnew,
