race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time
Italian,Start,VER,821,Red Bull,Red Bull RBPTH001,7,1:20.306,7,,,1 +6,25,27.789,28.872,27.863,1:24.524,315.4,331.6,311.8,347.2,,
Italian,1,VER,821,Red Bull,Red Bull RBPTH001,7,1:20.306,4,1:30.827,,1 +6,25,27.789,28.872,27.863,1:24.524,315.4,331.6,311.8,347.2,,
Italian,2,VER,821,Red Bull,Red Bull RBPTH001,7,1:20.306,3,1:26.401,,1 +6,25,27.789,28.872,27.863,1:24.524,315.4,331.6,311.8,347.2,,
Italian,3,VER,821,Red Bull,Red Bull RBPTH001,7,1:20.306,3,1:26.181,,1 +6,25,27.789,28.872,27.863,1:24.524,315.4,331.6,311.8,347.2,,
Italian,4,VER,821,Red Bull,Red Bull RBPTH001,7,1:20.306,3,1:25.782,,1 +6,25,27.789,28.872,27.863,1:24.524,315.4,331.6,311.8,347.2,,
Italian,5,VER,821,Red Bull,Red Bull RBPTH001,7,1:20.306,2,1:25.512,,1 +6,25,27.789,28.872,27.863,1:24.524,315.4,331.6,311.8,347.2,,
Italian,6,VER,821,Red Bull,Red Bull RBPTH001,7,1:20.306,2,1:25.660,,1 +6,25,27.789,28.872,27.863,1:24.524,315.4,331.6,311.8,347.2,,
Italian,7,VER,821,Red Bull,Red Bull RBPTH001,7,1:20.306,2,1:25.297,,1 +6,25,27.789,28.872,27.863,1:24.524,315.4,331.6,311.8,347.2,,
Italian,8,VER,821,Red Bull,Red Bull RBPTH001,7,1:20.306,2,1:25.618,,1 +6,25,27.789,28.872,27.863,1:24.524,315.4,331.6,311.8,347.2,,
Italian,9,VER,821,Red Bull,Red Bull RBPTH001,7,1:20.306,2,1:25.886,,1 +6,25,27.789,28.872,27.863,1:24.524,315.4,331.6,311.8,347.2,,
Italian,10,VER,821,Red Bull,Red Bull RBPTH001,7,1:20.306,2,1:25.953,,1 +6,25,27.789,28.872,27.863,1:24.524,315.4,331.6,311.8,347.2,,
Italian,11,VER,821,Red Bull,Red Bull RBPTH001,7,1:20.306,2,1:25.858,,1 +6,25,27.789,28.872,27.863,1:24.524,315.4,331.6,311.8,347.2,,
Italian,12,VER,821,Red Bull,Red Bull RBPTH001,7,1:20.306,1,1:47.245,,1 +6,25,27.789,28.872,27.863,1:24.524,315.4,331.6,311.8,347.2,,
Italian,13,VER,821,Red Bull,Red Bull RBPTH001,7,1:20.306,1,1:28.719,,1 +6,25,27.789,28.872,27.863,1:24.524,315.4,331.6,311.8,347.2,,
Italian,14,VER,821,Red Bull,Red Bull RBPTH001,7,1:20.306,1,1:25.615,,1 +6,25,27.789,28.872,27.863,1:24.524,315.4,331.6,311.8,347.2,,
Italian,15,VER,821,Red Bull,Red Bull RBPTH001,7,1:20.306,1,1:25.794,,1 +6,25,27.789,28.872,27.863,1:24.524,315.4,331.6,311.8,347.2,,
Italian,16,VER,821,Red Bull,Red Bull RBPTH001,7,1:20.306,1,1:25.903,,1 +6,25,27.789,28.872,27.863,1:24.524,315.4,331.6,311.8,347.2,,
Italian,17,VER,821,Red Bull,Red Bull RBPTH001,7,1:20.306,1,1:25.870,,1 +6,25,27.789,28.872,27.863,1:24.524,315.4,331.6,311.8,347.2,,
Italian,18,VER,821,Red Bull,Red Bull RBPTH001,7,1:20.306,1,1:25.985,,1 +6,25,27.789,28.872,27.863,1:24.524,315.4,331.6,311.8,347.2,,
Italian,19,VER,821,Red Bull,Red Bull RBPTH001,7,1:20.306,1,1:25.799,,1 +6,25,27.789,28.872,27.863,1:24.524,315.4,331.6,311.8,347.2,,
Italian,20,VER,821,Red Bull,Red Bull RBPTH001,7,1:20.306,1,1:25.750,,1 +6,25,27.789,28.872,27.863,1:24.524,315.4,331.6,311.8,347.2,,
