race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time
Mexican,Start,VER,821,Red Bull,Red Bull RBPTH001,1,1:17.775,1,,0,1,25,29.026,31.718,21.097,1:21.841,296.7,291.2,249.7,335.1,Softused,
Mexican,1,VER,821,Red Bull,Red Bull RBPTH001,1,1:17.775,1,1:25.253,0.000,1,25,29.026,31.718,21.097,1:21.841,296.7,291.2,249.7,335.1,Softused,
Mexican,2,VER,821,Red Bull,Red Bull RBPTH001,1,1:17.775,1,1:23.247,0.000,1,25,29.026,31.718,21.097,1:21.841,296.7,291.2,249.7,335.1,Softused,
Mexican,3,VER,821,Red Bull,Red Bull RBPTH001,1,1:17.775,1,1:23.079,0.000,1,25,29.026,31.718,21.097,1:21.841,296.7,291.2,249.7,335.1,Softused,
Mexican,4,VER,821,Red Bull,Red Bull RBPTH001,1,1:17.775,1,1:23.566,0.000,1,25,29.026,31.718,21.097,1:21.841,296.7,291.2,249.7,335.1,Softused,
Mexican,5,VER,821,Red Bull,Red Bull RBPTH001,1,1:17.775,1,1:23.226,0.000,1,25,29.026,31.718,21.097,1:21.841,296.7,291.2,249.7,335.1,Softused,
Mexican,6,VER,821,Red Bull,Red Bull RBPTH001,1,1:17.775,1,1:23.294,0.000,1,25,29.026,31.718,21.097,1:21.841,296.7,291.2,249.7,335.1,Softused,
Mexican,7,VER,821,Red Bull,Red Bull RBPTH001,1,1:17.775,1,1:23.115,0.000,1,25,29.026,31.718,21.097,1:21.841,296.7,291.2,249.7,335.1,Softused,
Mexican,8,VER,821,Red Bull,Red Bull RBPTH001,1,1:17.775,1,1:23.292,0.000,1,25,29.026,31.718,21.097,1:21.841,296.7,291.2,249.7,335.1,Softused,
Mexican,9,VER,821,Red Bull,Red Bull RBPTH001,1,1:17.775,1,1:23.246,0.000,1,25,29.026,31.718,21.097,1:21.841,296.7,291.2,249.7,335.1,Softused,
Mexican,10,VER,821,Red Bull,Red Bull RBPTH001,1,1:17.775,1,1:23.257,0.000,1,25,29.026,31.718,21.097,1:21.841,296.7,291.2,249.7,335.1,Softused,
Mexican,11,VER,821,Red Bull,Red Bull RBPTH001,1,1:17.775,1,1:23.164,0.000,1,25,29.026,31.718,21.097,1:21.841,296.7,291.2,249.7,335.1,Softused,
Mexican,12,VER,821,Red Bull,Red Bull RBPTH001,1,1:17.775,1,1:23.076,0.000,1,25,29.026,31.718,21.097,1:21.841,296.7,291.2,249.7,335.1,Softused,
Mexican,13,VER,821,Red Bull,Red Bull RBPTH001,1,1:17.775,1,1:23.109,0.000,1,25,29.026,31.718,21.097,1:21.841,296.7,291.2,249.7,335.1,Softused,
Mexican,14,VER,821,Red Bull,Red Bull RBPTH001,1,1:17.775,1,1:23.056,0.000,1,25,29.026,31.718,21.097,1:21.841,296.7,291.2,249.7,335.1,Softused,
