race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time
Miami,Start,VER,821,Red Bull,Red Bull RBPTH001,3,1:28.991,3,,0,1 +2,26,30.364,35.138,25.757,1:31.259,220.4,188.7,280.0,328.5,Mediumnew,
Miami,1,VER,821,Red Bull,Red Bull RBPTH001,3,1:28.991,2,1:37.528,0.851,1 +2,26,30.364,35.138,25.757,1:31.259,220.4,188.7,280.0,328.5,Mediumnew,
Miami,2,VER,821,Red Bull,Red Bull RBPTH001,3,1:28.991,2,1:34.542,1.004,1 +2,26,30.364,35.138,25.757,1:31.259,220.4,188.7,280.0,328.5,Mediumnew,
Miami,3,VER,821,Red Bull,Red Bull RBPTH001,3,1:28.991,2,1:34.550,1.089,1 +2,26,30.364,35.138,25.757,1:31.259,220.4,188.7,280.0,328.5,Mediumnew,
Miami,4,VER,821,Red Bull,Red Bull RBPTH001,3,1:28.991,2,1:34.287,1.053,1 +2,26,30.364,35.138,25.757,1:31.259,220.4,188.7,280.0,328.5,Mediumnew,
Miami,5,VER,821,Red Bull,Red Bull RBPTH001,3,1:28.991,2,1:34.320,1.410,1 +2,26,30.364,35.138,25.757,1:31.259,220.4,188.7,280.0,328.5,Mediumnew,
Miami,6,VER,821,Red Bull,Red Bull RBPTH001,3,1:28.991,2,1:34.227,1.170,1 +2,26,30.364,35.138,25.757,1:31.259,220.4,188.7,280.0,328.5,Mediumnew,
Miami,7,VER,821,Red Bull,Red Bull RBPTH001,3,1:28.991,2,1:34.267,0.891,1 +2,26,30.364,35.138,25.757,1:31.259,220.4,188.7,280.0,328.5,Mediumnew,
Miami,8,VER,821,Red Bull,Red Bull RBPTH001,3,1:28.991,2,1:34.318,0.100,1 +2,26,30.364,35.138,25.757,1:31.259,220.4,188.7,280.0,328.5,Mediumnew,
Miami,9,VER,821,Red Bull,Red Bull RBPTH001,3,1:28.991,1,1:35.415,0.000,1 +2,26,30.364,35.138,25.757,1:31.259,220.4,188.7,280.0,328.5,Mediumnew,
Miami,10,VER,821,Red Bull,Red Bull RBPTH001,3,1:28.991,1,1:34.107,0.000,1 +2,26,30.364,35.138,25.757,1:31.259,220.4,188.7,280.0,328.5,Mediumnew,
Miami,11,VER,821,Red Bull,Red Bull RBPTH001,3,1:28.991,1,1:34.466,0.000,1 +2,26,30.364,35.138,25.757,1:31.259,220.4,188.7,280.0,328.5,Mediumnew,
Miami,12,VER,821,Red Bull,Red Bull RBPTH001,3,1:28.991,1,1:33.991,0.000,1 +2,26,30.364,35.138,25.757,1:31.259,220.4,188.7,280.0,328.5,Mediumnew,
Miami,13,VER,821,Red Bull,Red Bull RBPTH001,3,1:28.991,1,1:34.090,0.000,1 +2,26,30.364,35.138,25.757,1:31.259,220.4,188.7,280.0,328.5,Mediumnew,
