race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time
Monaco,Start,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,3,,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,1,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,3,2:35.297,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,2,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,3,2:23.143,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,3,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,3,1:44.570,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,4,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,3,1:42.377,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,5,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,3,1:40.229,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,6,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,3,1:38.270,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,7,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,3,1:38.134,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,8,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,3,1:37.285,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,9,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,3,1:36.854,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,10,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,3,1:36.883,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,11,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,3,1:35.987,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,12,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,3,1:35.597,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,13,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,3,1:34.104,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,14,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,3,1:33.245,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,15,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,3,1:32.815,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,16,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,5,1:48.107,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,17,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,4,1:32.141,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,18,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,2,1:25.215,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,19,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,2,1:26.966,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,20,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,2,1:28.792,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,21,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,1,1:29.371,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,22,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,1,1:43.440,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
Monaco,23,PER,785,Red Bull,Red Bull RBPTH001,3,1:11.629,1,1:34.149,,1,25,20.163,35.665,20.067,1:15.895,201.6,194.3,260.0,281.9,,
