race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time
Singapore,Start,PER,785,Red Bull,Red Bull RBPTH001,2,1:49.434,2,,,1 +1,25,29.113,41.311,37.516,1:47.940,293.0,266.4,254.2,287.4,,
Singapore,1,PER,785,Red Bull,Red Bull RBPTH001,2,1:49.434,1,2:05.369,,1 +1,25,29.113,41.311,37.516,1:47.940,293.0,266.4,254.2,287.4,,
Singapore,2,PER,785,Red Bull,Red Bull RBPTH001,2,1:49.434,1,2:01.358,,1 +1,25,29.113,41.311,37.516,1:47.940,293.0,266.4,254.2,287.4,,
Singapore,3,PER,785,Red Bull,Red Bull RBPTH001,2,1:49.434,1,2:00.875,,1 +1,25,29.113,41.311,37.516,1:47.940,293.0,266.4,254.2,287.4,,
Singapore,4,PER,785,Red Bull,Red Bull RBPTH001,2,1:49.434,1,2:00.310,,1 +1,25,29.113,41.311,37.516,1:47.940,293.0,266.4,254.2,287.4,,
Singapore,5,PER,785,Red Bull,Red Bull RBPTH001,2,1:49.434,1,2:00.267,,1 +1,25,29.113,41.311,37.516,1:47.940,293.0,266.4,254.2,287.4,,
Singapore,6,PER,785,Red Bull,Red Bull RBPTH001,2,1:49.434,1,2:00.094,,1 +1,25,29.113,41.311,37.516,1:47.940,293.0,266.4,254.2,287.4,,
Singapore,7,PER,785,Red Bull,Red Bull RBPTH001,2,1:49.434,1,2:00.714,,1 +1,25,29.113,41.311,37.516,1:47.940,293.0,266.4,254.2,287.4,,
Singapore,8,PER,785,Red Bull,Red Bull RBPTH001,2,1:49.434,1,2:15.730,,1 +1,25,29.113,41.311,37.516,1:47.940,293.0,266.4,254.2,287.4,,
Singapore,9,PER,785,Red Bull,Red Bull RBPTH001,2,1:49.434,1,3:02.306,,1 +1,25,29.113,41.311,37.516,1:47.940,293.0,266.4,254.2,287.4,,
Singapore,10,PER,785,Red Bull,Red Bull RBPTH001,2,1:49.434,1,2:49.136,,1 +1,25,29.113,41.311,37.516,1:47.940,293.0,266.4,254.2,287.4,,
Singapore,11,PER,785,Red Bull,Red Bull RBPTH001,2,1:49.434,1,1:59.580,,1 +1,25,29.113,41.311,37.516,1:47.940,293.0,266.4,254.2,287.4,,
Singapore,12,PER,785,Red Bull,Red Bull RBPTH001,2,1:49.434,1,1:59.473,,1 +1,25,29.113,41.311,37.516,1:47.940,293.0,266.4,254.2,287.4,,
Singapore,13,PER,785,Red Bull,Red Bull RBPTH001,2,1:49.434,1,1:59.434,,1 +1,25,29.113,41.311,37.516,1:47.940,293.0,266.4,254.2,287.4,,
Singapore,14,PER,785,Red Bull,Red Bull RBPTH001,2,1:49.434,1,1:59.429,,1 +1,25,29.113,41.311,37.516,1:47.940,293.0,266.4,254.2,287.4,,
Singapore,15,PER,785,Red Bull,Red Bull RBPTH001,2,1:49.434,1,1:59.018,,1 +1,25,29.113,41.311,37.516,1:47.940,293.0,266.4,254.2,287.4,,
