race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time
Spanish,Start,VER,821,Red Bull,Red Bull RBPTH001,2,1:19.073,2,,,1,25,23.877,32.066,29.017,1:24.960,271.3,281.1,279.3,327.4,,
Spanish,1,VER,821,Red Bull,Red Bull RBPTH001,2,1:19.073,2,1:29.739,,1,25,23.877,32.066,29.017,1:24.960,271.3,281.1,279.3,327.4,,
Spanish,2,VER,821,Red Bull,Red Bull RBPTH001,2,1:19.073,2,1:27.509,,1,25,23.877,32.066,29.017,1:24.960,271.3,281.1,279.3,327.4,,
Spanish,3,VER,821,Red Bull,Red Bull RBPTH001,2,1:19.073,2,1:27.574,,1,25,23.877,32.066,29.017,1:24.960,271.3,281.1,279.3,327.4,,
Spanish,4,VER,821,Red Bull,Red Bull RBPTH001,2,1:19.073,2,1:27.601,,1,25,23.877,32.066,29.017,1:24.960,271.3,281.1,279.3,327.4,,
Spanish,5,VER,821,Red Bull,Red Bull RBPTH001,2,1:19.073,2,1:27.937,,1,25,23.877,32.066,29.017,1:24.960,271.3,281.1,279.3,327.4,,
Spanish,6,VER,821,Red Bull,Red Bull RBPTH001,2,1:19.073,2,1:27.761,,1,25,23.877,32.066,29.017,1:24.960,271.3,281.1,279.3,327.4,,
Spanish,7,VER,821,Red Bull,Red Bull RBPTH001,2,1:19.073,2,1:28.070,,1,25,23.877,32.066,29.017,1:24.960,271.3,281.1,279.3,327.4,,
Spanish,8,VER,821,Red Bull,Red Bull RBPTH001,2,1:19.073,2,1:28.115,,1,25,23.877,32.066,29.017,1:24.960,271.3,281.1,279.3,327.4,,
Spanish,9,VER,821,Red Bull,Red Bull RBPTH001,2,1:19.073,4,1:36.463,,1,25,23.877,32.066,29.017,1:24.960,271.3,281.1,279.3,327.4,,
Spanish,10,VER,821,Red Bull,Red Bull RBPTH001,2,1:19.073,4,1:29.262,,1,25,23.877,32.066,29.017,1:24.960,271.3,281.1,279.3,327.4,,
Spanish,11,VER,821,Red Bull,Red Bull RBPTH001,2,1:19.073,3,1:29.192,,1,25,23.877,32.066,29.017,1:24.960,271.3,281.1,279.3,327.4,,
Spanish,12,VER,821,Red Bull,Red Bull RBPTH001,2,1:19.073,3,1:29.055,,1,25,23.877,32.066,29.017,1:24.960,271.3,281.1,279.3,327.4,,
Spanish,13,VER,821,Red Bull,Red Bull RBPTH001,2,1:19.073,4,1:32.379,,1,25,23.877,32.066,29.017,1:24.960,271.3,281.1,279.3,327.4,,
Spanish,14,VER,821,Red Bull,Red Bull RBPTH001,2,1:19.073,5,1:45.251,,1,25,23.877,32.066,29.017,1:24.960,271.3,281.1,279.3,327.4,,
Spanish,15,VER,821,Red Bull,Red Bull RBPTH001,2,1:19.073,4,1:27.317,,1,25,23.877,32.066,29.017,1:24.960,271.3,281.1,279.3,327.4,,
Spanish,16,VER,821,Red Bull,Red Bull RBPTH001,2,1:19.073,4,1:28.085,,1,25,23.877,32.066,29.017,1:24.960,271.3,281.1,279.3,327.4,,
