race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time
United States,Start,VER,821,Red Bull,Red Bull RBPTH001,2,1:34.448,2,,,1 +1,25,26.877,39.756,32.542,1:39.175,221.0,185.8,206.4,333.9,,
United States,1,VER,821,Red Bull,Red Bull RBPTH001,2,1:34.448,1,1:41.343,,1 +1,25,26.877,39.756,32.542,1:39.175,221.0,185.8,206.4,333.9,,
United States,2,VER,821,Red Bull,Red Bull RBPTH001,2,1:34.448,1,1:41.696,,1 +1,25,26.877,39.756,32.542,1:39.175,221.0,185.8,206.4,333.9,,
United States,3,VER,821,Red Bull,Red Bull RBPTH001,2,1:34.448,1,1:41.893,,1 +1,25,26.877,39.756,32.542,1:39.175,221.0,185.8,206.4,333.9,,
United States,4,VER,821,Red Bull,Red Bull RBPTH001,2,1:34.448,1,1:42.581,,1 +1,25,26.877,39.756,32.542,1:39.175,221.0,185.8,206.4,333.9,,
United States,5,VER,821,Red Bull,Red Bull RBPTH001,2,1:34.448,1,1:42.870,,1 +1,25,26.877,39.756,32.542,1:39.175,221.0,185.8,206.4,333.9,,
United States,6,VER,821,Red Bull,Red Bull RBPTH001,2,1:34.448,1,1:42.826,,1 +1,25,26.877,39.756,32.542,1:39.175,221.0,185.8,206.4,333.9,,
United States,7,VER,821,Red Bull,Red Bull RBPTH001,2,1:34.448,1,1:42.314,,1 +1,25,26.877,39.756,32.542,1:39.175,221.0,185.8,206.4,333.9,,
United States,8,VER,821,Red Bull,Red Bull RBPTH001,2,1:34.448,1,1:42.830,,1 +1,25,26.877,39.756,32.542,1:39.175,221.0,185.8,206.4,333.9,,
United States,9,VER,821,Red Bull,Red Bull RBPTH001,2,1:34.448,1,1:42.412,,1 +1,25,26.877,39.756,32.542,1:39.175,221.0,185.8,206.4,333.9,,
United States,10,VER,821,Red Bull,Red Bull RBPTH001,2,1:34.448,1,1:42.492,,1 +1,25,26.877,39.756,32.542,1:39.175,221.0,185.8,206.4,333.9,,
United States,11,VER,821,Red Bull,Red Bull RBPTH001,2,1:34.448,1,1:42.583,,1 +1,25,26.877,39.756,32.542,1:39.175,221.0,185.8,206.4,333.9,,
United States,12,VER,821,Red Bull,Red Bull RBPTH001,2,1:34.448,1,1:43.011,,1 +1,25,26.877,39.756,32.542,1:39.175,221.0,185.8,206.4,333.9,,
United States,13,VER,821,Red Bull,Red Bull RBPTH001,2,1:34.448,1,1:42.675,,1 +1,25,26.877,39.756,32.542,1:39.175,221.0,185.8,206.4,333.9,,
United States,14,VER,821,Red Bull,Red Bull RBPTH001,2,1:34.448,2,2:02.112,,1 +1,25,26.877,39.756,32.542,1:39.175,221.0,185.8,206.4,333.9,,
United States,15,VER,821,Red Bull,Red Bull RBPTH001,2,1:34.448,1,1:42.424,,1 +1,25,26.877,39.756,32.542,1:39.175,221.0,185.8,206.4,333.9,,
United States,16,VER,821,Red Bull,Red Bull RBPTH001,2,1:34.448,1,1:41.905,,1 +1,25,26.877,39.756,32.542,1:39.175,221.0,185.8,206.4,333.9,,
United States,17,VER,821,Red Bull,Red Bull RBPTH001,2,1:34.448,1,1:42.483,,1 +1,25,26.877,39.756,32.542,1:39.175,221.0,185.8,206.4,333.9,,
